"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"147.06334",0.0014943,0.0052257,0.0065157,0.0096519,0.0046833,0.0016623,-0.00094154,0.0015432
"149.05976",0.011316,0.0088296,-0.0017439,-0.00023046,-0.00097643,0.017338,0.0043546,-0.0012301
"149.09611",0.0237,0.0061797,0.0084456,0.033261,-0.0065818,0.025838,0.0085284,0.0032201
"150.06307",0.014226,0.013142,-0.0030282,-0.00048961,-0.00093151,0.0174,0.0044244,0.00021606
"151.02522",-0.0025404,-0.0079702,0.0056728,-0.0014623,-0.0010281,0.0048678,-0.0063808,0.0034258
"151.03899",-0.0059495,-7.7148e-05,-0.010304,-0.0023504,0.0061953,-0.004052,-0.0031358,0.0011367
"152.02852",-0.013625,-0.024112,0.00039075,-0.019241,0.00085212,0.0043376,-0.00020922,0.00060626
"152.04231",-0.0049319,0.0025459,-0.0032803,-0.0020756,-0.0052838,-0.0051948,-0.01067,-0.00081271
"153.01829",-0.0091515,-0.017437,-0.0015685,-0.0056044,-0.0033038,0.00093468,-0.0030645,0.00044453
"153.01842",0.014236,0.02318,-0.011107,-0.0007636,0.0030411,-0.013027,0.0003814,0.00037424
"153.09111",0.011027,0.001604,0.00026724,0.0038933,-0.0027949,-0.0054859,-0.0042723,0.00077603
"155.10673",-0.0013165,0.00013414,-0.00061388,-0.0073622,0.0067423,0.0022271,-0.0080158,-0.0014239
"155.10674",-0.0019289,0.012046,0.0080319,-0.00063058,-0.00055641,0.00016976,-0.0049142,0.0019827
"156.01132",0.0021166,-0.016861,0.016782,0.05418,-0.0078244,0.0044612,-0.0048294,-0.0076064
"158.97769",-0.0080347,-0.013961,0.018474,0.0098599,-0.0084535,-0.028563,0.027318,0.0020418
"159.10167",0.00083379,-0.0065863,0.0032891,-0.0017118,-0.0062493,-0.0019953,-0.0019611,-0.00085127
"159.06528",0.0043173,0.0032069,-0.0043731,0.0021665,0.002821,-0.001334,-0.009694,0.0026304
"159.97819",-0.0025964,-0.0040754,-0.0046434,0.0006675,0.0017083,0.0041861,-0.0041375,-0.001403
"161.08091",-0.0087581,0.0038293,-2.0491e-05,-0.013092,-0.00035126,-0.008422,0.0047964,0.00046978
"162.05501",-0.0015198,0.0050986,0.018033,0.011777,0.011625,-0.0016493,0.0046554,0.001424
"163.05819",0.0062869,0.033075,0.01559,0.00082569,0.020556,-0.012218,0.0083715,-0.0011303
"164.07077",-0.0073759,-0.0092694,0.0098084,-0.0055537,0.0017189,0.003347,-0.00832,-0.0036567
"165.01843",0.00044398,-0.00054886,-0.00066875,-0.00039988,-0.0010764,-0.0031603,-0.0055324,0.00096105
"165.0548",0.0011963,0.0051657,0.00018363,0.0028455,-0.0051414,-0.019501,-0.011309,-0.0011048
"165.05475",-0.011766,0.0021821,-0.00082385,-0.0078919,-0.0032545,0.010709,-0.0027994,-0.0026877
"165.05483",0.0084089,-0.0047303,-0.004872,-0.007036,-0.0061835,-0.00075666,0.00056968,0.0012829
"165.07412",-0.0078962,-0.0090825,0.010705,-0.0057568,0.0022993,0.0033799,-0.0088122,0.002231
"166.05796",-0.013272,0.0029886,0.0007699,-0.0087274,-0.0034772,0.011525,-0.006433,-0.0022215
"167.06131",-0.0061577,0.0041043,0.017531,-0.009929,0.017945,0.0085548,0.010455,0.00042731
"170.08152",0.010697,-0.0017431,-0.0020368,-0.00078943,-0.016785,-0.004287,0.013339,0.0006221
"171.13809",-0.0007212,-0.00085483,0.010669,0.0017518,-0.021067,-0.0087052,-1.8839e-05,-0.0014947
"172.09708",-0.0020883,-0.00058436,0.0066286,-0.0023068,0.0059872,0.0042971,0.0003617,-0.0014355
"172.99336",-0.001897,-0.0034774,-0.0047476,6.5413e-05,0.0020383,0.0041626,-0.0039986,-0.001204
"173.11752",0.0048142,-0.0022072,0.0015618,-0.00068503,-0.0065729,-0.0035939,0.0023885,-0.0006254
"173.08111",0.002298,-0.0067642,-0.0011619,-0.001341,-0.0016103,0.0014757,-8.5121e-06,0.00265
"174.05525",0.012531,0.0015821,0.00081093,0.0024464,-0.0015231,-0.0061178,-0.0096266,-0.0022558
"173.9938",-0.0019501,-0.003465,-0.0047862,-7.8177e-05,0.002167,0.0042585,-0.0040567,0.00060955
"174.08436",0.0024845,-0.0066524,-0.0014053,-0.0011939,-0.0015093,0.0018978,1.2103e-05,0.00027952
"174.99088",-0.0060962,0.008,-0.013702,-0.012867,0.011463,0.0005555,0.0098475,0.0014012
"174.95534",-0.0023094,-0.006182,-0.0013071,0.0027228,-0.0047079,0.0052558,-0.0013381,0.00026089
"175.07556",0.013434,0.0087889,0.0017615,0.018592,-0.0017904,0.0097512,0.0075995,0.0012389
"176.07067",-0.0040074,-0.024416,0.0091808,-0.056672,-0.0068503,0.0029484,0.003739,0.001301
"179.0343",-0.0094082,-0.008661,-0.017902,-0.021475,0.0049908,-0.0098392,-0.0080052,0.0036094
"179.10687",-0.0018995,-0.0080563,-0.0037669,0.0016993,0.00075103,0.0015231,-0.0039113,-0.00043719
"180.03805",-0.0037499,-0.020949,-0.027192,-0.030441,-0.0015855,-0.042696,0.021637,0.0095287
"180.0659",-0.0058271,-0.0093181,0.0096669,-0.0026373,0.0021312,-0.00058654,-0.0078411,0.0064816
"181.04989",0.0045202,-0.0022346,-0.00035031,0.0015948,0.0026033,-0.00054584,0.0059238,-0.00032841
"181.08626",0.019446,-0.005088,-0.0052037,-0.0039925,0.0091353,-0.0082323,-0.00039527,0.0043601
"181.06914",-0.0057304,-0.0059039,0.015071,-0.0095395,0.00518,0.0071209,-0.0087187,-0.0012586
"182.04513",-0.00033043,-0.0004834,0.0037756,0.00059509,0.0078563,0.0038737,0.0087659,0.00057361
"182.0816",-0.0010139,0.014716,0.0039835,-0.0038677,-0.0023603,0.0049435,0.0052461,-0.0024696
"183.04831",-0.0017008,0.0017017,0.010664,-0.00057257,0.013465,0.0049626,0.013266,2.0269e-05
"183.13817",0.008884,0.0039809,0.0027014,0.031355,-0.0043472,-0.0027687,-0.006634,0.0033423
"183.1383",0.013753,0.019223,0.00085652,-0.0084096,0.0052305,-0.0044376,0.0050011,-0.00010647
"184.09721",0.0094785,-0.0098108,0.0093905,-0.0072116,-0.0089712,0.0063892,0.0031244,0.00019815
"185.10054",0.0093483,0.0065146,0.0037745,0.0017377,-0.006324,-0.029838,-0.0028384,0.0023746
"186.02244",-0.0094262,0.0018932,-0.0078994,-0.0042252,-0.015297,0.0058032,-0.015982,-8.046e-05
"186.11289",0.0038013,0.0047532,0.0024402,-0.0070512,0.0035788,0.0034791,-0.004984,-0.001217
"186.11277",-0.0027471,0.00033497,-0.0076593,0.012032,0.004557,0.008185,-0.0092804,-6.2159e-06
"187.00637",-0.0026171,0.010753,0.0085746,0.014112,-0.0017084,-0.00067772,-0.0095004,0.00085979
"187.03693",0.0027528,0.033835,-0.013298,0.00029695,0.003106,-0.0035906,-0.0092814,0.0041562
"187.13314",0.0048853,-0.0077738,0.0014218,-0.00056634,-0.0067555,0.010077,0.0026765,0.00073292
"187.09683",0.0057926,-0.0077416,0.0020212,0.00088077,-0.0001579,-8.3295e-05,0.0031844,8.186e-05
"188.03257",0.00064174,-0.0051635,-0.0052012,0.0031,0.0035112,0.0013209,-0.0052332,-0.00211
"188.00959",-0.0024626,0.027365,0.02688,0.019797,0.0092321,-0.0050152,-0.0072643,0.0027463
"188.04019",-0.0063909,0.028581,-0.012634,-0.00085978,0.0092933,0.0022017,-0.017013,-0.0023355
"188.09999",0.0059749,-0.0078578,0.0019446,0.00084359,-2.7426e-05,-0.00018074,0.0030986,0.0023015
"188.0346",-0.00298,-0.0050492,0.016087,0.017097,0.0087373,0.00082168,0.0042176,-0.0034042
"189.03976",-0.002289,-0.0077573,0.002192,-0.0087044,0.0012491,0.0012096,0.00012461,-0.0010171
"190.0519",-0.013432,0.0098169,0.036324,-0.01029,0.022633,-0.001971,0.014595,-0.00122
"190.05025",0.00041469,0.0051159,0.0061248,0.0061895,0.0052955,0.0017281,-0.00045064,-0.0028964
"191.05349",0.0012696,0.0062688,0.0068418,0.008771,0.0053485,0.0012559,-0.00042728,-0.00060158
"191.07069",0.0044599,0.003868,0.00091966,-0.0048893,-0.0050831,-0.016253,-0.011815,0.0019229
"192.06599",-0.0023698,-0.01253,0.0028139,-0.0062424,-0.0028137,-0.00098885,0.00041897,0.0014883
"193.05001",0.00069665,-0.0072256,0.00024466,-0.0082607,0.00032299,-0.024383,-0.012641,0.00083737
"193.04986",-0.0022888,-0.0014832,-0.0041369,-0.00015163,0.0068057,-0.0070825,-0.00071137,-0.00097045
"193.08614",0.012605,0.006004,0.0010043,0.010617,-0.0015382,0.016166,0.0086986,0.0022627
"193.08965",0.0015813,-0.0043785,0.00029308,-0.0050171,0.00040567,0.001568,0.0046357,-0.00021206
"194.04527",-0.012378,-0.027805,-0.0014536,-0.036419,0.0062058,0.010243,0.0013246,-0.0026918
"194.08935",0.016353,0.011991,-0.00050958,0.012196,-0.0016132,0.014761,0.0084127,0.0014358
"195.04851",-0.0052621,-0.029322,0.01122,-0.05014,-0.0080222,0.044482,0.00058139,0.00016329
"195.06325",-0.0062259,-0.013054,-0.03479,0.011541,0.039211,0.0095341,0.0024016,0.0045983
"195.06578",-0.0096937,0.0057372,0.0010675,0.0015194,0.0064525,-0.015427,-0.017956,0.0018999
"197.11771",0.0066834,-0.0062255,-0.0013466,-0.0019239,-0.0036308,-0.00077327,-0.002768,-0.0013185
"197.07448",0.014001,-0.016,-0.005492,-0.01628,-0.00041166,0.057828,0.015001,0.0051293
"198.07684",0.0047663,0.00064203,-0.0042785,-0.0010146,0.0093074,-0.011551,-0.010114,0.00054494
"199.05807",-0.017047,-0.001063,0.021635,-0.012259,0.0035107,0.00022618,-0.0078796,0.00021239
"199.16972",-0.0025178,-0.00099913,0.0090725,0.0028739,-0.021237,-0.010603,-0.0032893,-0.00047875
"199.09703",0.0077365,-0.0081756,0.0027251,0.010472,-0.0047741,-0.0020237,-0.001422,0.0023568
"199.09687",-0.0017656,0.0057028,0.016255,-0.0019897,0.009313,0.00012782,0.0064424,0.0015423
"199.09704",0.015531,0.019156,-0.002812,0.0061546,0.0038598,-0.0055322,-0.0012667,-0.00017187
"200.12847",0.0064861,0.0037143,0.0066484,-0.0039319,0.0048416,-0.0081527,-0.0064849,0.00033313
"200.1729",-0.0025572,-0.00099473,0.0091059,0.0029601,-0.021332,-0.010829,-0.0034308,0.0019711
"201.11267",0.0060002,-0.0039169,-0.00083017,-0.0011472,-0.0045006,0.00015479,-0.00049178,0.0020961
"201.11278",0.013248,-0.0069865,-0.00049789,-0.0027006,-0.0037795,-0.0022558,-0.00059917,-0.00058599
"202.11606",0.017227,-0.00089114,-0.0017702,0.00025977,-0.0045355,0.0029844,0.00036169,-0.0030091
"202.11591",0.0059998,-0.0035802,0.0015965,-0.0020223,-0.0035933,-0.00024575,0.00076412,-0.00040697
"203.03202",0.0041833,0.0089706,-0.0024613,0.0066033,-0.0019508,0.0033716,-0.0022334,-0.0023292
"203.12837",4.9547e-05,0.0020296,0.0057507,-0.0040328,-0.001465,-0.00062524,-0.0011614,-0.0003308
"203.12829",0.0043555,-0.00037495,-0.0008571,-0.007663,-0.0026755,-0.00024159,0.0028299,-6.5109e-05
"203.08218",-0.00784,-0.011481,0.011379,0.0049631,0.00050642,0.001607,-0.0060693,-0.0003403
"204.08512",-0.0083436,-0.010963,0.010309,0.0012981,0.00099564,0.0013539,-0.0059503,0.0011028
"205.15916",-0.0095007,-0.0066654,-0.012386,0.0083446,0.011347,-0.00040286,0.0017788,0.0036781
"206.0455",0.010365,0.00060499,0.0038918,-0.00040001,-0.0084756,0.012653,0.0032021,0.00026019
"206.04539",-0.0034004,0.0064405,0.022212,0.010195,0.015463,-0.0017681,0.0075947,0.0014398
"206.08179",-0.00090647,-0.0051417,-9.977e-05,-0.0091089,0.0034192,0.0030929,0.00039116,-0.00071815
"206.16249",-0.01431,-0.0099735,-0.031997,0.014159,0.034668,0.0040218,0.0036681,0.0010651
"207.04837",0.0022882,0.0017091,0.0068965,0.017047,0.0025961,-0.0010411,-0.0021222,0.00099719
"207.04879",0.010609,0.026,-0.011164,-0.024536,0.0017649,-0.028844,-0.0042472,0.004646
"207.06573",-0.0043287,0.014227,-0.0088155,-0.0096161,0.011282,-0.003475,0.0013311,-0.0015151
"208.0493",-0.01778,0.00053232,0.025812,-0.016827,0.022691,0.0015351,0.020987,0.00094288
"208.96055",-0.0042781,-0.0053322,-0.0032965,0.0042145,0.00012579,0.0024573,-0.002891,-0.0018383
"209.1542",-0.0043367,-0.0059375,-0.0043774,0.0013626,0.0036719,0.0020017,-0.0018414,-0.0012587
"209.06753",0.02108,0.019179,-0.013704,-0.0033964,-0.011978,0.0028014,0.0080578,0.0036381
"209.08149",0.0031094,0.0081948,-0.0015104,-0.0020871,0.0027137,0.0069947,-0.012592,-0.00019786
"209.07904",0.0045147,-0.0076052,0.0011702,0.0018279,0.00029358,0.00030029,0.0023009,-0.0024415
"209.08159",0.0047499,0.013482,-0.0061348,-0.0086381,-0.0061099,0.0008409,-0.019616,-0.0019603
"210.08221",0.0046654,-0.007619,0.0010795,0.0018674,0.00032391,0.00035465,0.0023495,0.00094167
"211.03971",0.028831,-0.0080402,-0.031475,0.00046879,-0.031682,0.010822,0.022795,0.006747
"211.1335",-0.0052103,-0.0049916,-0.0027174,0.0050648,0.0028078,-0.00023134,-0.0041496,0.0017898
"211.13358",-0.00058921,0.0064521,0.0072833,0.0017124,-0.0013584,0.0018732,0.0019072,-0.00057292
"211.13347",0.0054003,-0.0030175,-0.0013561,-0.0024118,-0.0020061,-0.0015976,0.0020233,-0.00033414
"213.18554",0.0012718,-0.0009272,0.0052818,0.006539,-0.0032811,-4.2982e-05,0.0040182,-0.0011314
"213.09155",0.0042665,-0.0012306,0.02478,0.046977,-0.0046644,0.019438,0.0026416,-0.0034584
"213.11273",0.0020973,-0.0071749,0.0045761,-0.0021722,0.001589,0.0085271,0.0035548,-9.1427e-05
"213.14916",0.0039159,-0.005227,0.0035321,0.0016364,-0.010769,0.0058781,0.004226,5.7403e-05
"213.09164",0.02765,0.0058648,-0.0064547,-0.021126,-0.0028565,0.022407,0.0076322,0.0015051
"213.18553",0.0065776,0.00070157,0.0020865,-0.00049468,-0.00065693,0.01687,0.005034,0.0021894
"214.14439",0.0032202,-0.0013068,0.0057663,0.0074141,0.0028428,0.0034574,-0.0063706,-0.0013299
"214.07053",0.015504,0.017798,-0.010115,-0.0049988,-0.0019356,-0.0032674,-0.0045331,-0.00053156
"214.18883",0.0032157,0.0012041,0.0056544,0.004897,0.0013628,-4.643e-05,0.005178,0.0013052
"215.16473",0.0012728,-0.010299,0.0038935,0.0011932,-0.0042017,0.0080807,0.011174,0.0022116
"215.12844",0.0045482,-0.0039079,0.0013599,0.00051943,-0.0010859,-0.0023208,-0.00010945,-0.0018994
"215.06854",0.023714,0.012464,0.0058156,0.049576,-0.0054346,0.012765,0.0044827,-0.0055642
"215.16487",-0.0037741,-0.0010813,0.0057572,-0.0019933,-0.0058497,0.0047405,0.0010259,0.00036148
"216.16803",0.0016687,-0.011039,0.0038104,0.0011752,-0.0044912,0.010368,0.01243,-0.0006202
"216.13177",0.0080022,-0.003502,0.0014407,-0.0013213,-0.0017987,0.0042276,0.00082216,0.00068579
"216.07181",0.025632,0.0032139,0.0059071,0.027662,-0.0054868,0.04286,0.010627,0.00087184
"217.04789",0.010115,0.011587,-0.017103,0.0043879,0.014151,0.019944,0.0027048,0.002015
