"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"153.01829",-0.0078904,0.016052,-0.015923,0.0080011,0.0014067,-0.004938,0.0045409
"153.01842",0.012209,-0.02792,0.017429,0.0069434,0.0021624,0.003702,-0.0089391
"153.09111",0.011027,-0.0011208,0.0058028,0.0035436,-0.0009346,0.0026317,0.00018188
"155.10673",-0.0014643,-0.0025917,-0.0036054,0.00021287,0.009587,0.00070708,0.0064579
"155.10674",-0.002639,-0.0063996,0.013897,-0.0078973,0.0052143,-0.00099883,0.004216
"156.01132",0.0044921,0.035356,0.0095428,-0.011027,-0.033779,0.033727,0.00083189
"158.97769",-0.0062298,0.028198,0.0046492,-0.0019918,-0.0026189,-0.00717,-0.035722
"159.10167",0.001474,0.008376,-0.0019211,0.0028755,0.00032485,-0.0048928,0.0023778
"159.06528",0.0039947,-0.0050173,0.002452,0.0045939,0.0014029,0.0068001,0.0052185
"159.97819",-0.0024245,0.0015206,-0.006291,0.0032011,-0.0017752,0.0033209,0.004841
"161.08091",-0.0091698,-0.0038415,0.0008727,0.0029523,0.0099267,-0.010864,-0.0064809
"162.05501",-0.0014025,0.0049061,0.011423,-0.01982,0.0046994,0.011005,-0.0089762
"163.05819",0.0040527,-0.025597,0.030671,-0.02358,0.018636,0.0079308,-0.018886
"164.07077",-0.0064782,0.01308,-0.0056012,-0.0040028,0.0095816,-0.0027691,0.0087447
"165.01843",0.00050465,0.00090833,0.0010569,0.0040221,0.001962,0.00087141,0.002612
"165.0548",0.0010076,-0.00027509,0.013256,0.012061,0.0049608,0.0030821,-0.0019837
"165.05475",-0.01208,-0.0025029,-0.0026821,-0.0026222,0.00090288,-0.0073759,0.010423
"165.05483",0.0086281,-5.2908e-05,-0.0056021,0.0075557,-0.00046733,-0.0080566,0.0017802
"165.07412",-0.0069952,0.013329,-0.0052533,-0.0047559,0.010509,-0.0026126,0.0090206
"166.05796",-0.01361,-0.0022041,-0.0012894,-0.0032877,0.0028075,-0.0074666,0.013835
"167.06131",-0.0063326,-0.00080235,-0.00092051,-0.025553,0.017336,-0.0033956,-0.0058944
"170.08152",0.010894,0.00086718,0.0020656,0.0053571,-0.011134,-0.013535,-0.0076791
"171.13809",-0.00015188,0.010858,0.012517,0.002496,-0.0045866,-0.012643,0.00082882
"172.09708",-0.0019639,0.0021043,-0.0012771,-0.008479,0.0058008,0.00026989,0.0010795
"172.99336",-0.0017824,0.00061791,-0.0060766,0.0030343,-0.0012624,0.0030471,0.0047177
"173.11752",0.0050859,0.0030666,0.0013535,0.0024842,-0.0018083,-0.0051394,-0.0019034
"173.08111",0.0027817,0.0049141,-0.0062738,0.0026486,-0.0010723,-0.0017652,0.0014902
"174.05525",0.012541,-0.001215,0.0062232,0.0046498,0.0025859,0.0037075,0.0036708
"173.9938",-0.0018404,0.00053863,-0.0061774,0.0030047,-0.0011311,0.0030346,0.0048013
"174.08436",0.0029518,0.0046241,-0.0063772,0.0025477,-0.0013517,-0.0015776,0.0016662
"174.99088",-0.0073353,-0.017936,-0.0076621,0.0028043,0.0059845,-0.0030457,-0.008671
"174.95534",-0.0018299,0.0061343,-0.0048877,0.0017384,-0.0061471,-0.00035718,0.004963
"175.07556",0.012958,-0.0069695,0.010594,-0.01171,-0.017386,0.0098358,-0.0021381
"176.07067",-0.0024683,0.015694,-0.031123,0.0046059,0.035412,-0.048907,0.0094563
"179.0343",-0.0094171,-0.0027418,-0.018733,0.023153,0.014401,-0.0069788,0.0015082
"179.10687",-0.0013646,0.0060881,-0.0079741,0.0050661,-0.0019696,0.0034448,0.0032482
"180.03805",-0.0029995,0.0041799,-0.028603,0.043825,0.014584,-0.02231,-0.036914
"180.0659",-0.0048795,0.013776,-0.0040044,-0.0025232,0.0088476,-0.00027656,0.0055313
"181.04989",0.0046734,0.00064214,-0.0027688,-0.0014013,-0.0014964,0.0011858,-0.0057081
"181.08626",0.019659,-0.0027418,-0.0070085,0.0068862,0.0075107,0.0038976,-0.0066392
"181.06914",-0.0050392,0.010447,-0.0035031,-0.011253,0.015206,-0.004761,0.011007
"182.04513",-0.0002901,0.0001648,-0.0031024,-0.0092871,0.0013843,0.0017618,-0.0064544
"182.0816",-0.00211,-0.01253,0.011461,-0.0098744,0.00059254,-0.0067493,0.00032842
"183.04831",-0.0017209,0.00020546,-0.0012556,-0.018332,0.0062607,0.001609,-0.010394
"183.13817",0.0090599,0.0041658,0.016158,-0.0015258,-0.019132,0.022181,-2.1189e-05
"183.1383",0.012189,-0.021805,0.013635,-0.0062021,0.0092115,-0.0045834,-0.0065272
"184.09721",0.010442,0.01058,-0.0051949,-0.0049335,0.0010519,-0.013502,0.0052352
"185.10054",0.0091896,-0.00054968,0.01784,0.012014,0.0074255,-0.00094731,-0.01377
"186.02244",-0.0097118,-0.001956,0.0016909,0.01189,-0.0052321,-0.0065496,0.020024
"186.11289",0.0033957,-0.0059846,0.0019957,-0.0039233,0.0079994,-0.0024052,0.0058533
"186.11277",-0.0029024,-0.0021078,-0.0020097,0.0018713,-0.0088158,0.015206,0.0084658
"187.00637",-0.0030303,-0.0011595,0.018168,-0.0072264,-0.0034801,0.010486,0.005296
"187.03693",-0.00018212,-0.036832,0.023931,0.0036716,0.00079201,0.0070966,0.0035656
"187.13314",0.0055114,0.0063678,-0.0068247,-0.0024035,-0.0065013,-0.0058419,0.0059282
"187.09683",0.0064528,0.0069217,-0.0054232,-0.00022361,-0.0009806,-0.00065262,-0.0024576
"188.03257",0.0009176,0.0022857,-0.0062445,0.0048261,-0.0015886,0.0067357,0.003098
"188.00959",-0.0036772,-0.0075059,0.038904,-0.02783,0.0069794,0.017255,-0.0023536
"188.04019",-0.0089824,-0.031577,0.016907,0.0023429,0.005117,0.011626,0.011174
"188.09999",0.0066416,0.0069449,-0.0055537,-0.00010012,-0.00087273,-0.0005605,-0.002484
"188.0346",-0.0020662,0.014695,0.0038003,-0.016173,-0.002086,0.01367,-0.0072284
"189.03976",-0.0017446,0.0062706,-0.0086394,0.00034887,0.0066527,-0.0061988,0.0016046
"190.0519",-0.013553,0.0046312,0.012156,-0.038593,0.0299,-0.0050646,-0.015935
"190.05025",0.00020109,-0.0014621,0.0066128,-0.0088181,0.00079449,0.0065913,-0.0008933
"191.05349",0.0010167,-0.0017185,0.0087101,-0.0097062,-0.00042906,0.0084183,-0.0015651
"191.07069",0.0042951,-0.0013558,0.0097653,0.011103,0.009563,-0.0027785,0.0014417
"192.06599",-0.0013731,0.012311,-0.0099805,0.0031815,0.0036678,-0.006828,0.00088661
"193.05001",0.0013351,0.008472,-0.00010874,0.017569,0.01654,-0.0013132,-0.003749
"193.04986",-0.0022987,-0.00045166,-0.0031263,0.0051045,0.0040872,0.0051998,-0.0056151
"193.08614",0.012198,-0.0072516,0.0038901,-0.013094,-0.014618,0.0036015,0.0018919
"193.08965",0.0018511,0.0021965,-0.0059369,-0.00068943,0.0017332,-0.0048758,-0.0019008
"194.04527",-0.010781,0.016594,-0.038647,0.0051127,0.0223,-0.023874,0.0086119
"194.08935",0.015474,-0.013526,0.0092345,-0.013044,-0.015606,0.0051313,0.0010318
"195.04851",-0.0034275,0.018008,-0.042661,-0.014714,0.019305,-0.04622,0.035581
"195.06325",-0.0063705,-0.0090229,-0.036686,0.011918,-0.0066528,0.03704,-0.0097825
"195.06578",-0.010021,-0.00060787,0.0097805,0.007884,0.0126,0.010381,0.0023236
"197.11771",0.007154,0.0041868,-0.0043241,0.0050786,-0.00027551,-0.0024868,0.0028753
"197.07448",0.014585,-0.0021519,-0.03628,-0.021639,-0.014079,-0.018146,0.025113
"198.07684",0.0046181,-0.0031777,0.00039322,0.0086037,0.0099375,0.0088486,-0.0018085
"199.05807",-0.016552,0.011793,0.0041833,-0.01365,0.020942,-0.0089065,0.0073751
"199.16972",-0.0019494,0.011245,0.012929,0.0054908,-0.0045832,-0.01062,0.0019941
"199.09703",0.008611,0.010587,-0.00036364,0.0020654,-0.0075128,0.004992,-0.00026717
"199.09687",-0.001887,0.00068328,0.0074067,-0.018114,0.010993,-0.00083241,-0.0066298
"199.09704",0.014067,-0.020017,0.017564,-0.0020937,-0.0006125,0.0078934,-0.0043581
"200.12847",0.0063655,-0.0015373,0.0067448,-0.0014702,0.012221,0.00084712,-0.00055837
"200.1729",-0.0019851,0.011334,0.013073,0.0056319,-0.0045648,-0.010568,0.0019815
"201.11267",0.0063093,0.0025284,-0.0023181,0.0031705,-0.0018549,-0.0031986,0.0018667
"201.11278",0.013802,0.0039924,-0.0043708,0.0048439,0.00033788,-0.0038321,0.00056775
"202.11606",0.017289,-0.0027945,-0.00015527,0.0012482,-0.0041927,-0.002383,0.0026694
"202.11591",0.0063296,0.0030349,-0.0015754,0.00092245,-3.9737e-05,-0.0040948,0.00063243
"203.03202",0.0035041,-0.0086013,0.0083476,-0.0017232,-0.0064727,0.0046308,0.0031535
"203.12837",1.8975e-05,0.00046255,0.0037653,-0.0034639,0.0049264,-0.004587,0.0016508
"203.12829",0.0042983,-0.0022042,-0.0020954,0.0015173,0.0027058,-0.0078733,-0.00039018
"203.08218",-0.0066055,0.018406,-0.0034658,-0.0048946,0.0024208,0.0035141,0.0048745
"204.08512",-0.0072199,0.016686,-0.0045893,-0.003974,0.0047337,0.0012545,0.0050141
"205.15916",-0.0093222,0.0016567,-0.012319,0.0068195,-0.0056669,0.014735,-0.0062907
"206.0455",0.010415,-0.001031,0.0012069,-0.0075265,-0.0070819,-0.0074946,0.0075698
"206.04539",-0.0033312,0.004935,0.012322,-0.025043,0.0086378,0.010499,-0.011973
"206.08179",-0.0006542,0.0018761,-0.0086312,-0.00026322,0.0064986,-0.0049725,0.0019042
"206.16249",-0.01454,-0.0071023,-0.030062,0.012413,-0.0080667,0.035697,-0.013
"207.04837",0.002516,0.004809,0.0088452,-0.0068219,-0.0062838,0.013536,-0.0020989
"207.04879",0.0082101,-0.032427,0.018278,0.017484,0.023632,-0.012683,-0.010901
"207.06573",-0.0058366,-0.019782,0.0027767,0.0014085,0.0095885,0.00086418,-0.004994
"208.0493",-0.017574,0.0065146,-0.0037361,-0.030967,0.026762,-0.0098183,-0.017962
"208.96055",-0.0039198,0.004747,-0.0051533,0.0032022,-0.0042424,0.0045209,0.0028527
"209.1542",-0.0040177,0.003602,-0.0079188,0.0033159,-0.001201,0.0044232,0.0012024
"209.06753",0.019279,-0.02737,0.011749,0.0049654,-0.011741,-0.0094545,-0.00084145
"209.08149",0.0023943,-0.0096367,0.0048511,-0.0017218,0.0038144,0.0034203,0.012993
"209.07904",0.0051474,0.0067572,-0.0055817,0.00022365,-0.0016043,0.0006991,-0.0018625
"209.08159",0.0035538,-0.015712,0.010663,0.0082541,0.005961,-0.0035696,0.017943
"210.08221",0.0052968,0.0066923,-0.0056432,0.00024264,-0.0016837,0.00074728,-0.0018834
"211.03971",0.028776,-0.01072,-0.015378,0.023462,-0.038987,-0.019181,-0.0026177
"211.1335",-0.0048572,0.005045,-0.0043353,0.0034432,-0.0020531,0.0070955,0.0013505
"211.13358",-0.00088208,-0.0019678,0.0084978,-0.0084148,0.00030262,-0.0015247,-8.0794e-06
"211.13347",0.0055958,0.00096534,-0.0027617,0.002839,-0.00012845,-0.0031863,-0.0015607
"213.18554",0.0015684,0.0048138,0.0036842,-0.0043704,-0.0049711,0.00084725,-0.0029301
"213.09155",0.0054485,0.020403,0.018217,-0.030907,-0.030231,0.025901,0.0044329
"213.11273",0.002684,0.0063131,-0.0076549,-0.0067244,0.00025658,-0.0028863,0.0023415
"213.14916",0.004472,0.0067928,-0.0012477,-0.0021194,-0.0081537,-0.0071937,0.0031657
"213.09164",0.026713,-0.020656,-0.0083381,-0.0071114,0.0012548,-0.019378,0.011213
"213.18553",0.0064819,-0.003201,-0.0032526,-0.010989,-0.0056884,-0.0033392,0.0064535
"214.14439",0.003534,0.00445,0.0026544,-0.0053519,-0.00048128,0.0077016,0.0050275
"214.07053",0.013872,-0.023809,0.011858,0.0062316,0.0011347,-0.0016459,0.00249
"214.18883",0.0033047,0.0015544,0.0037721,-0.0068012,-0.0016656,0.0019593,-0.0048463
"215.16473",0.0021428,0.010175,-0.00893,-0.0057852,-0.0072638,-0.0057253,-0.0024872
"215.12844",0.0049175,0.0039237,-0.001386,0.0014694,0.00027687,-0.00034676,-0.0010182
"215.06854",0.023425,-0.0032466,0.024851,-0.018063,-0.038134,0.030659,-0.0014965
"215.16487",-0.003549,0.0043097,0.0011229,-0.0046122,-0.00097874,-0.0064958,0.0040961
"216.16803",0.0025804,0.010416,-0.010249,-0.0068652,-0.0085094,-0.0063455,-0.0019997
"216.13177",0.0082942,0.0018336,-0.002979,-0.0017376,-0.0010642,-0.0027207,0.0026019
"216.07181",0.025649,-0.0038992,0.0027632,-0.029648,-0.034753,0.011236,0.014825
"217.04789",0.0086081,-0.024479,-0.0055708,-0.0053826,-0.0094013,0.013009,0.0046348
"217.07156",0.002677,0.0080408,-0.0011647,0.0026853,0.0094594,0.0028916,0.002671
"218.07802",0.016535,0.020361,0.025044,-0.010606,-0.026184,0.017845,0.013874
"219.02711",0.018166,-0.0027615,0.027664,-0.014627,-0.031439,0.037161,-0.0047401
"220.061",-0.0029621,-0.00010956,-0.0056613,0.0042366,-0.0004363,0.014981,0.0098504
"220.09765",0.001649,-0.007009,0.0051778,-0.0013271,0.014782,-0.0055013,0.0027775
"221.15434",-0.0068717,0.0046308,-0.0062132,0.0048377,-0.002045,0.0079155,-0.0030766
"221.07921",-0.0013355,-0.0043281,-0.0038806,-0.00087379,0.0092236,0.0053002,0.0040893
"222.0404",-0.00069653,0.0029031,0.005316,-0.011845,-0.0021377,0.01614,-0.0054576
"222.1576",-0.0070744,0.0045095,-0.0061942,0.0051871,-0.002186,0.00818,-0.0030722
"222.07666",-0.0092936,0.0067702,-0.01481,-0.006843,0.020508,-0.034843,0.0069867
"223.0141",-0.010973,-0.00037028,-0.0049042,0.0025924,-0.0059262,-0.0032856,0.0093621
"223.17011",-0.0097967,0.0029849,-0.0011008,0.0041988,-0.0056542,-0.0018775,0.00498
"224.01345",-0.023236,0.0095837,0.0066794,-0.030291,-0.01147,-0.040263,-0.040048
"224.09262",0.01355,-0.020005,0.017143,-0.0025893,-0.013542,0.0044142,-0.0076134
"225.18564",-0.0035248,-0.00019838,-0.00045508,-0.0055947,-0.0048651,-0.0050692,-0.0043997
"225.11266",-0.011374,-0.0048598,-0.0011188,-0.0014263,-0.0034964,-0.0097476,-0.0051175
"226.11597",-0.014854,-0.0080271,-0.0060567,-0.0059115,0.0044529,0.0015617,-0.0037892
"227.03474",0.033758,-0.012878,-0.0096545,0.013291,-0.028899,-0.030338,-0.0035573
"227.03485",0.030488,0.001542,-0.0055807,0.026037,-0.019865,-0.024784,-0.044736
