"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"0027_XAV_iHMP2_FFA_SM-77FXR",-155.79,-124.74,34.559,-132.6,-132.66,35.039,57.794
"0030_XAV_iHMP2_FFA_SM-6KUCT",-219.8,18.782,158.33,98.775,17.3,99.134,-78.096
"0051_XAV_iHMP2_FFA_SM-9WOBP",-226.74,220.26,-150.45,-18.626,-1.9477,-19.772,17.584
"0069_XAV_iHMP2_FFA_SM-9OS5Y",-140.35,-185.53,-71.562,42.922,115.57,-114.73,2.6841
"0393_XAV_iHMP2_FFA_SM-AMR37",146.77,104.08,178.85,-36.982,12.308,-145.47,29.727
"0407_XAV_iHMP2_FFA_SM-AUP8B",192.33,6.0984,-12.591,-55.823,135.42,139.45,69.034
"0433_XAV_iHMP2_FFA_SM-9SNJ4",208.74,-18.848,-77.691,-66.244,-35.475,-3.1736,-158.36
"0508_XAV_iHMP2_FFA_SM-9X47O",194.83,-20.105,-59.45,168.58,-110.52,9.5207,59.631
