"Sample","0027_XAV_iHMP2_FFA_SM-77FXR","0030_XAV_iHMP2_FFA_SM-6KUCT","0051_XAV_iHMP2_FFA_SM-9WOBP","0069_XAV_iHMP2_FFA_SM-9OS5Y","0393_XAV_iHMP2_FFA_SM-AMR37","0407_XAV_iHMP2_FFA_SM-AUP8B","0433_XAV_iHMP2_FFA_SM-9SNJ4","0508_XAV_iHMP2_FFA_SM-9X47O"
"Label","CD","CD","CD","CD","nonIBD","nonIBD","nonIBD","nonIBD"
"112.08372","12449.30122","3270.0386","7096.84991","25336.95497","107014.52421","98874.30341","221776.26107","133486.69286"
"115.07526","20763009.05084","2480167.13046","19267.14814","53215.71818","7268238.16196","10476070.93591","6097046.1336","3308483.61604"
"115.07527","2317041.40879","2083723.23672","5984.6917","64547.65101","4406672.24371","9490709.56991","2125563.60093","4115664.87114"
"116.07856","98684.14942","111039.49681",NA,NA,"10827.86166","524350.56224","44338.16587","193284.04237"
"116.07055","24895672.58569","27656768.76269","198115337.71085","86263550.35694","118610061.64","65658549.59184","11951773.13135","3731029.19572"
"116.07861","1268871.74168","116816.71629",NA,NA,"299681.29709","605171.92561","252859.2569","113084.24162"
"117.07386","1002412.9267","792402.69465","9150093.43045","3226678.44784","5670922.62069","2742535.8757","443269.502",NA
"119.04908","184578981.34042","40603159.34785","26920329.50364","542120551.52084","20970103.94051","8117459.79243","4357237.25992","6039839.20005"
"120.05231","15614240.75052","3395947.13714","2147113.53029","45321314.18712","125600.99972","565307.99484","124643.83027","187946.42544"
"121.02834","48213083.61028","10416612.05281","38974023.90589","17927664.30405","65695619.65542","18213402.68587","66337915.62901","48249614.04839"
"121.06477","205438.68799","33188159.20074","34255.71816","891610.64721","15070438.5657","3811465.42972","1120937.04039","2346062.9262"
"121.06475","167329703.75089","35484925.61239","57143.51133","495147060.24724","7097549.87623","6013995.5764","2895915.77227","3017396.98239"
"122.03176","3251769.51334","151605.52935","2867931.4243","1194367.13739","4830058.99787","389581.72026","4221617.14099","3477217.03382"
