"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"181.04989",0.32561,0.32192,0.32158,0.32149,0.32148
"181.08626",1.3595,1.3446,1.3418,1.3414,1.3414
"181.06914",0.30297,0.31114,0.31187,0.31217,0.3122
"182.04513",0.03616,0.043495,0.051902,0.054471,0.054473
"182.0816",0.21145,0.2311,0.23379,0.23443,0.23443
"183.04831",0.13935,0.14055,0.14392,0.14732,0.14733
"183.13817",0.70976,0.71003,0.71186,0.71166,0.71167
"183.1383",0.74749,0.76068,0.76113,0.76092,0.76091
"184.09721",0.79089,0.78614,0.78507,0.78486,0.78485
"185.10054",0.70753,0.70528,0.71142,0.7116,0.7116
"186.02244",0.68545,0.67749,0.67644,0.6765,0.6765
"186.11289",0.20275,0.20894,0.20855,0.20853,0.20855
"186.11277",0.22433,0.22378,0.22344,0.22337,0.22337
"187.00637",0.17854,0.18531,0.19916,0.19957,0.19956
"187.03693",0.19259,0.34246,0.3618,0.36176,0.36175
"187.13314",0.41052,0.40709,0.40796,0.40788,0.40788
"187.09683",0.48774,0.48466,0.48429,0.48413,0.48412
"188.03257",0.067404,0.066741,0.070142,0.07067,0.070669
"188.00959",0.2266,0.23013,0.27056,0.27468,0.2747
"188.04019",0.79897,0.83127,0.83381,0.83355,0.83354
"188.09999",0.50102,0.4977,0.49731,0.49714,0.49714
"188.0346",0.050519,0.15941,0.1592,0.1619,0.16189
"189.03976",0.10355,0.10705,0.11357,0.11355,0.11357
"190.0519",0.92346,0.91441,0.9124,0.91416,0.9142
"190.05025",0.014968,0.014842,0.023392,0.028098,0.028106
"191.05349",0.075759,0.075131,0.079464,0.081345,0.081345
"191.07069",0.33313,0.33255,0.33824,0.33894,0.33895
"192.06599",0.037992,0.10086,0.10882,0.10899,0.10899
"193.05001",0.17017,0.20663,0.2085,0.21184,0.21191
"193.04986",0.1688,0.16714,0.16686,0.16717,0.16718
"193.08614",0.80991,0.80483,0.80306,0.80331,0.80331
"193.08965",0.12882,0.12737,0.1303,0.13026,0.13026
"194.04527",0.74926,0.74085,0.75828,0.75818,0.7582
"194.08935",1.0137,1.01,1.0079,1.008,1.008
"195.04851",0.24999,0.24739,0.33087,0.33158,0.3316
"195.06325",0.60246,0.64233,0.65921,0.65935,0.65935
"195.06578",0.67592,0.67007,0.67148,0.67153,0.67154
"197.11771",0.52671,0.52165,0.52064,0.52055,0.52054
"197.07448",0.89357,0.9097,0.93141,0.93221,0.93222
"198.07684",0.31578,0.31258,0.31242,0.31294,0.31296
"199.05807",1.0879,1.0831,1.0807,1.0805,1.0805
"199.16972",0.021828,0.18501,0.19654,0.19664,0.19665
"199.09703",0.6804,0.68199,0.68048,0.68025,0.68024
"199.09687",0.12292,0.12263,0.12276,0.12628,0.12634
"199.09704",0.90579,0.90626,0.90775,0.90745,0.90744
"200.12847",0.45905,0.45394,0.45413,0.45398,0.454
"200.1729",0.023218,0.18696,0.19868,0.19879,0.1988
"201.11267",0.45928,0.45443,0.45347,0.45335,0.45334
"201.11278",0.99513,0.98406,0.98196,0.98167,0.98166
"202.11606",1.2034,1.1898,1.1871,1.1867,1.1867
"202.11591",0.46444,0.45983,0.45886,0.4587,0.4587
"203.03202",0.21009,0.21606,0.21841,0.2184,0.2184
"203.12837",0.012449,0.02147,0.025339,0.025822,0.02586
"203.12829",0.28473,0.28306,0.28252,0.28244,0.28244
"203.08218",0.35574,0.39333,0.39313,0.39308,0.39307
"204.08512",0.41281,0.43636,0.43619,0.43608,0.43607
"205.15916",0.67633,0.66904,0.6693,0.66917,0.66917
"206.0455",0.72453,0.71637,0.71483,0.71478,0.71478
"206.04539",0.18891,0.20079,0.20159,0.20599,0.20602
"206.08179",0.056776,0.05854,0.070492,0.070482,0.070508
"206.16249",1.1485,1.1511,1.1551,1.1549,1.1549
"207.04837",0.22821,0.23923,0.24059,0.2409,0.2409
"207.04879",0.43061,0.48735,0.50059,0.50196,0.502
"207.06573",0.53624,0.56501,0.56404,0.56388,0.56388
"208.0493",1.2328,1.2186,1.2173,1.2178,1.2178
"208.96055",0.25689,0.25593,0.25616,0.25612,0.25612
"209.1542",0.27864,0.27554,0.27682,0.27679,0.27679
"209.06753",1.2123,1.2218,1.2205,1.2201,1.2201
"209.08149",0.1166,0.14229,0.14359,0.14355,0.14356
"209.07904",0.39424,0.39261,0.39262,0.39249,0.39249
"209.08159",0.18271,0.21072,0.21992,0.22051,0.22052
"210.08221",0.4042,0.40227,0.40226,0.40212,0.40211
"211.03971",1.9335,1.9177,1.9141,1.9136,1.9137
"211.1335",0.31822,0.31705,0.31672,0.31667,0.31666
"211.13358",0.059786,0.059233,0.064992,0.066796,0.066795
"211.13347",0.39699,0.39238,0.39161,0.39151,0.39151
"213.18554",0.14898,0.15913,0.15905,0.15929,0.15929
"213.09155",0.54187,0.59026,0.58977,0.59319,0.59325
"213.11273",0.20521,0.2043,0.20907,0.20937,0.20937
"213.14916",0.35531,0.35661,0.35601,0.35596,0.35597
"213.09164",1.7187,1.72,1.7169,1.7164,1.7164
"213.18553",0.41658,0.41701,0.41747,0.41793,0.41793
"214.14439",0.28272,0.28424,0.28365,0.28371,0.28371
"214.07053",0.858,0.87005,0.8706,0.87039,0.87038
"214.18883",0.24825,0.24646,0.24601,0.24627,0.24627
"215.16473",0.1891,0.19617,0.20286,0.20324,0.20326
"215.12844",0.37181,0.36948,0.36868,0.36857,0.36856
"215.06854",1.6814,1.6624,1.6606,1.6606,1.6606
"215.16487",0.22313,0.22489,0.22441,0.22452,0.22452
"216.16803",0.21682,0.22111,0.22905,0.22952,0.22954
"216.13177",0.58878,0.58196,0.58092,0.58073,0.58073
"216.07181",1.7624,1.7439,1.7405,1.7411,1.7411
"217.04789",0.42117,0.51133,0.5115,0.51147,0.51147
"217.07156",0.24467,0.25726,0.25669,0.25674,0.25676
"218.07802",1.3632,1.382,1.3823,1.3821,1.3821
"219.02711",1.3251,1.3113,1.3122,1.3123,1.3123
"220.061",0.22159,0.21987,0.22023,0.22033,0.22033
"220.09765",0.084489,0.09777,0.10101,0.101,0.10111
"221.15434",0.46739,0.46289,0.46238,0.46231,0.4623
"221.07921",0.13362,0.14594,0.14657,0.14653,0.14657
"222.0404",0.025439,0.045327,0.045765,0.050577,0.050577
"222.1576",0.48219,0.47744,0.47686,0.47679,0.47678
"222.07666",0.65613,0.64852,0.65157,0.65139,0.6514
"223.0141",0.79062,0.7818,0.78034,0.78008,0.78008
"223.17011",0.67264,0.66558,0.66411,0.66391,0.6639
"224.01345",1.5901,1.5739,1.5705,1.5712,1.5712
"224.09262",0.86542,0.86786,0.86902,0.86877,0.86877
"225.18564",0.25788,0.25525,0.25499,0.2552,0.2552
"225.11266",0.84243,0.83485,0.83305,0.83278,0.83277
"226.11597",1.1261,1.1194,1.1176,1.1172,1.1172
"227.03474",2.2791,2.2591,2.2543,2.2536,2.2536
"227.03485",2.17,2.145,2.1402,2.1398,2.1398
"227.12854",0.46834,0.47002,0.47202,0.47187,0.47188
"227.12866",0.37327,0.38417,0.38393,0.38385,0.38386
"227.16479",0.48662,0.48134,0.48108,0.48093,0.48093
"227.12864",0.55965,0.55552,0.55429,0.55423,0.55423
"227.12874",0.62058,0.61354,0.61226,0.61207,0.61206
"227.20134",0.089544,0.11478,0.11507,0.11504,0.11504
"227.12871",0.52233,0.52002,0.5192,0.51914,0.51914
"227.1285",0.92602,0.92278,0.92085,0.92055,0.92054
"228.03797",2.3483,2.3251,2.3199,2.3194,2.3194
"228.13182",0.61002,0.60988,0.61225,0.61207,0.61208
"228.13193",0.34574,0.35863,0.35784,0.35795,0.35796
"228.13206",0.54099,0.54983,0.54926,0.54957,0.54957
"228.13179",0.75278,0.74937,0.74785,0.74802,0.74801
"228.13206861",1.1841,1.1728,1.1716,1.1712,1.1711
"228.20422",0.092659,0.11544,0.11558,0.11555,0.11555
"229.09812",0.45256,0.4513,0.45043,0.45032,0.45031
"229.14428",0.40486,0.40016,0.39938,0.39925,0.39925
"229.2078",0.099723,0.12401,0.12441,0.12437,0.12438
"229.10801",0.30973,0.31625,0.31815,0.31814,0.31813
"230.14745",0.43514,0.43012,0.42925,0.42911,0.4291
"230.10161",0.57479,0.57874,0.57942,0.57939,0.57939
"230.13962",0.44563,0.44147,0.44072,0.44103,0.44103
"231.01867",0.57739,0.57197,0.5733,0.57314,0.57314
"231.0187",0.027343,0.028,0.064299,0.066285,0.06664
"231.12366",0.58829,0.5945,0.59343,0.59339,0.59338
"231.12353",0.29956,0.30531,0.30464,0.30465,0.30468
"232.05902",2.1677,2.1425,2.1379,2.1372,2.1372
"232.56009",2.1529,2.1435,2.1422,2.1419,2.1419
"233.04301",0.80518,0.79591,0.79439,0.79417,0.79416
"233.15448",0.15463,0.15702,0.15788,0.15788,0.15788
"233.08175",0.015042,0.02438,0.024333,0.026634,0.026665
"233.09303",1.0813,1.0688,1.0742,1.0738,1.0738
"234.0462",0.82102,0.81149,0.80994,0.80971,0.8097
"234.08988",0.74701,0.75166,0.75628,0.75604,0.75603
"234.11351",0.18736,0.23216,0.2411,0.24121,0.24125
"234.07706",0.40629,0.42309,0.4228,0.42333,0.42334
"235.07885",0.58123,0.61703,0.6241,0.62404,0.62404
"236.09246",0.62369,0.61929,0.62111,0.62114,0.62114
"237.11313",0.46631,0.46893,0.4691,0.46915,0.46914
"238.07185",0.013071,0.02813,0.04797,0.048079,0.048079
"238.07739",0.23289,0.23068,0.25923,0.26059,0.26066
