"","Fold Change","log2(FC)"
"359.22333",0.02406,-5.3772
"592.39415",41.391,5.3712
"439.29644923",41.373,5.3706
"259.16354",0.024288,-5.3636
"492.34636",41.075,5.3602
"332.15936",41.055,5.3595
"355.32205",0.024448,-5.3541
"369.17432",0.024773,-5.3351
"455.29159",40.343,5.3342
"337.17739",0.024808,-5.3331
"162.00223",0.02484,-5.3312
"465.32263",0.024889,-5.3284
"540.33033",40.167,5.3279
"574.45104",0.024972,-5.3235
"505.26091",39.75,5.3129
"376.21657",0.025221,-5.3092
"307.16689",0.02526,-5.307
"89.02297",39.556,5.3058
"445.29658",0.025351,-5.3018
"236.09246",39.421,5.3009
"414.20395",39.398,5.3001
"238.57894",39.228,5.2938
"271.19168",0.025575,-5.2891
"229.1555",0.025609,-5.2872
"243.1714",0.025711,-5.2815
"134.02367",38.871,5.2806
"799.57335",38.766,5.2767
"689.35222",38.756,5.2763
"557.45788",38.47,5.2657
"269.0825",0.026035,-5.2634
"445.19016",38.355,5.2614
"181.04977",38.32,5.26
"428.2284",38.038,5.2494
"243.12381",0.026309,-5.2483
"385.16968",0.026336,-5.2468
"664.54128",37.912,5.2446
"501.23555",0.026498,-5.238
"294.61982",37.698,5.2364
"613.30026",37.655,5.2348
"634.48949",37.591,5.2323
"213.03178",37.468,5.2276
"246.13475",37.442,5.2266
"355.15834",37.378,5.2241
"465.22266",37.377,5.2241
"387.25466",0.026789,-5.2222
"532.30208",36.954,5.2076
"99.00733",36.908,5.2059
"351.08224",0.027118,-5.2046
"537.2381",36.857,5.2039
"208.0493",36.839,5.2031
"73.02799",36.764,5.2002
"370.17759",36.605,5.194
"207.04879",36.249,5.1799
"405.26519",36.072,5.1728
"239.12863",35.957,5.1682
"330.10643",0.027885,-5.1644
"537.23774",35.806,5.1621
"249.06329",35.664,5.1564
"468.25076",0.028044,-5.1562
"608.38879",35.522,5.1506
"587.35888",35.52,5.1506
"319.16669",0.028302,-5.143
"242.08626",0.028377,-5.1391
"315.1244",0.028384,-5.1388
"554.14113",0.028517,-5.1321
"632.47384",35.028,5.1305
"393.29145",34.906,5.1254
"194.90491",34.845,5.1229
"515.26871",0.028711,-5.1223
"551.30434",34.651,5.1148
"262.12019",34.632,5.114
"174.99088",34.557,5.1109
"295.11875",34.489,5.1081
"324.16529",0.029061,-5.1048
"182.04793",34.192,5.0956
"479.26567",0.029409,-5.0876
"201.11278",0.029566,-5.0799
"208.06467",33.823,5.0799
"633.50959",33.598,5.0703
"605.29865",0.029803,-5.0684
"192.05886",33.428,5.063
"193.03139",33.22,5.054
"439.26225",0.030108,-5.0537
"457.26343",33.043,5.0463
"267.11413",32.95,5.0422
"319.16668",0.030352,-5.0421
"445.25366",32.93,5.0413
"170.08152",0.030432,-5.0383
"136.07572",0.030576,-5.0315
"532.28882",32.482,5.0216
"132.98023",32.371,5.0166
"475.1994",0.030932,-5.0148
"459.27322",32.279,5.0125
"179.0343",32.169,5.0076
"575.46789",32.029,5.0013
"422.33661",0.031293,-4.998
"499.23757",31.823,4.992
"417.30145",0.031551,-4.9862
"317.15082",31.617,4.9826
"389.09187",31.597,4.9817
"256.10371",31.57,4.9805
"483.21361",31.463,4.9756
"603.51837",31.441,4.9746
"180.04234",31.373,4.9714
"623.41584",31.308,4.9685
"332.12227",31.271,4.9667
"445.2401",31.044,4.9562
"320.16999",0.03236,-4.9497
"409.33287",0.032529,-4.9421
"553.42671",30.597,4.9353
"294.10701",0.032937,-4.9242
"453.23245",30.279,4.9203
"295.0679",30.151,4.9141
"371.18988",30.147,4.9139
"451.27031",30.134,4.9133
"166.05796",30.058,4.9097
"121.06475",30.054,4.9095
"452.38323",0.033341,-4.9066
"453.28575",29.943,4.9041
"225.11309",0.03344,-4.9023
"634.50206",29.862,4.9002
"370.17782",0.033512,-4.8992
"139.04454",29.839,4.8991
"585.39351",0.033723,-4.8901
"544.25911",29.616,4.8883
"175.05531",0.033964,-4.8798
"555.29364",29.377,4.8766
"500.27812",29.271,4.8714
"444.26028",29.162,4.866
"451.38002",0.034383,-4.8621
"283.10791",29.013,4.8586
"313.23886495",0.0346,-4.8531
"797.5581",28.856,4.8508
"798.56141",28.766,4.8463
"407.12178",0.034997,-4.8366
"479.27764",28.572,4.8365
"329.10361",0.035114,-4.8318
"204.08512",28.409,4.8283
"412.35181",0.035284,-4.8248
"250.10831",28.295,4.8225
"332.25297",0.035387,-4.8206
"472.24612",28.204,4.8178
"283.1033",28.175,4.8164
"410.289",28.163,4.8157
"117.92734",27.967,4.8057
"555.38552",27.923,4.8034
"101.05948",0.035823,-4.803
"475.26766",27.895,4.8019
"482.2844",0.035864,-4.8013
"446.25775",27.878,4.801
"494.98308",0.035901,-4.7998
"657.58309",0.036044,-4.7941
"329.10335",0.036136,-4.7904
"797.42799",27.555,4.7843
"218.07802",0.036362,-4.7814
"393.15594",0.036364,-4.7813
"243.12385",0.036371,-4.7811
"318.21548",0.036379,-4.7808
"636.51052",27.443,4.7783
"469.22714",27.384,4.7753
"387.22515",27.374,4.7748
"583.29175",27.315,4.7716
"324.16547",0.036698,-4.7682
"406.2679",27.215,4.7663
"389.2677",27.159,4.7634
"711.53927",27.099,4.7602
"443.25708",27.074,4.7588
"611.34282",27.03,4.7565
"369.17399",26.919,4.7506
"331.23538",26.915,4.7503
"437.29108",26.857,4.7472
"411.34857",0.037339,-4.7432
"469.38986",0.037349,-4.7428
"307.16681",0.03735,-4.7427
"317.21247",0.03736,-4.7424
"631.47019",26.739,4.7409
"269.17618",0.037402,-4.7407
"501.25275",26.687,4.7381
"414.25806",26.644,4.7357
"409.29584",26.6,4.7334
"335.25979",0.037626,-4.7321
"231.07717",26.577,4.7321
"492.98601",0.037798,-4.7256
"446.19367",26.427,4.7239
"203.08218",26.413,4.7232
"408.11801",26.373,4.721
"490.23077",26.331,4.7187
"207.06573",26.32,4.7181
"391.22594",26.221,4.7126
"263.14048",0.038162,-4.7117
"301.12512",0.038186,-4.7108
"305.15112",0.038315,-4.7059
"110.07108",26,4.7005
"427.17934",25.973,4.699
"437.08735",25.79,4.6888
"114.93274",25.715,4.6845
"487.27306",25.623,4.6794
"638.52462",25.551,4.6753
"486.20126",25.53,4.6741
"503.26829",25.488,4.6717
"385.16925",25.413,4.6675
"299.25948",0.039532,-4.6608
"307.25507",25.23,4.6571
"492.30931",25.228,4.657
"359.29606",25.133,4.6515
"129.09095",0.039815,-4.6506
"373.13291",25.099,4.6496
"250.0331",25.085,4.6487
"411.23905",25.048,4.6466
"165.05475",25.04,4.6462
"512.26868",25.025,4.6453
"337.23889",0.039981,-4.6445
"415.14328",24.894,4.6377
"334.11771",0.040206,-4.6364
"453.28577",24.87,4.6363
"515.41027",24.865,4.636
"488.27597",24.689,4.6258
"227.1285",24.639,4.6229
"454.28933",24.609,4.6211
"228.13206861",0.040638,-4.621
"655.47336",24.557,4.6181
"269.13138",24.548,4.6175
"662.52657",0.040792,-4.6156
"428.18281",24.511,4.6154
"395.18995",24.505,4.615
"459.27288",24.361,4.6065
"377.27296",24.238,4.5992
"355.32211",0.041303,-4.5976
"347.16495",24.127,4.5925
"166.08641",0.041485,-4.5913
"439.29644",24.069,4.5891
"118.02153",23.971,4.5832
"307.16676",0.041724,-4.583
"174.05525",0.041746,-4.5822
"281.24895885",0.0418,-4.5804
"373.26764",0.04182,-4.5797
"412.20156",23.893,4.5785
"525.33996",23.886,4.5781
"119.04902",23.818,4.574
"449.36419",0.042195,-4.5668
"755.56038",0.042464,-4.5576
"418.16252",23.53,4.5564
"347.19036",0.042507,-4.5562
"663.53805",23.516,4.5556
"443.30142",23.451,4.5516
"443.29979",23.444,4.5512
"453.28643",23.384,4.5474
"234.0462",23.238,4.5384
"156.96148",0.043062,-4.5374
"126.00081",23.203,4.5362
"521.2397",0.043192,-4.5331
"447.00281",0.043206,-4.5326
"277.25386",23.142,4.5325
"397.33253",0.043267,-4.5306
"261.16092",0.043406,-4.526
"187.03693",22.992,4.5231
"169.99087",22.908,4.5178
"550.35175",22.803,4.5111
"281.06715",22.728,4.5064
"398.33612",0.044015,-4.5059
"392.28848",22.719,4.5058
"301.14454",22.695,4.5043
"417.15913",22.643,4.501
"300.26279",0.044585,-4.4873
"371.17498",0.044846,-4.4789
"524.34144",22.221,4.4739
"233.04301",22.216,4.4735
"534.25077",22.191,4.4719
"593.33532",0.045153,-4.469
"493.33612",0.045318,-4.4638
"195.06578",21.939,4.4554
"512.30917",21.806,4.4467
"324.16524",0.045856,-4.4467
"627.58367",21.766,4.444
"409.23589",21.697,4.4394
"119.04908",21.651,4.4364
"476.3149",21.624,4.4345
"419.21745",21.593,4.4325
"100.92455",21.479,4.4248
"434.19775",21.444,4.4225
"491.32059",0.046715,-4.42
"369.33768",0.046753,-4.4188
"365.26753",21.172,4.4041
"391.21333",0.047275,-4.4028
"270.09889",0.04739,-4.3993
"635.50718",21.067,4.3969
"661.45036",20.994,4.3919
"512.99406",0.047654,-4.3913
"116.04939",20.967,4.39
"384.32068",0.047712,-4.3895
"274.105",20.946,4.3886
"435.3486",0.047859,-4.3851
"426.36738",0.048158,-4.3761
"524.33571",20.748,4.3749
"337.10629",0.048204,-4.3747
"141.01579",20.733,4.3739
"465.25731",20.728,4.3735
"607.42106",20.653,4.3683
"405.26506",20.395,4.3502
"447.16689",20.341,4.3463
"483.25646",20.328,4.3454
"429.23211",20.276,4.3417
"373.57378",20.262,4.3407
"171.02265",0.049437,-4.3383
"365.23147",0.049585,-4.3339
"361.14104",0.049749,-4.3292
"441.35895",0.049934,-4.3238
"199.05807",19.98,4.3205
"637.52171",19.959,4.319
"379.18012",0.050171,-4.317
"409.28616",19.858,4.3117
"545.1297",0.050511,-4.3073
"556.3318",19.751,4.3039
"340.91755",0.050664,-4.3029
"409.27276",19.657,4.297
"446.00993",0.051087,-4.2909
"389.1248",0.051094,-4.2907
"261.16115",0.051155,-4.289
"425.36433",0.051239,-4.2866
"465.31822",19.453,4.2819
"781.56342",19.431,4.2803
"295.22781",0.051468,-4.2802
"384.15689",19.418,4.2793
"677.45508",19.354,4.2746
"710.53743",0.051792,-4.2711
"464.21958",19.3,4.2705
"440.29939",19.257,4.2673
"592.3217",19.218,4.2644
"243.10286",0.052052,-4.2639
"219.06356",0.052167,-4.2607
"657.54641",19.131,4.2579
"339.20919",19.12,4.257
"243.05119",19.063,4.2527
"400.0047",0.052477,-4.2522
"497.27173",19.01,4.2487
"269.21264",0.052839,-4.2423
"561.32758",18.923,4.242
"509.25752",18.916,4.2415
"381.13816",18.877,4.2386
"181.01694",18.825,4.2346
"367.10404",18.772,4.2305
"147.04399",18.741,4.2282
"132.07193",18.672,4.2228
"555.44235",18.59,4.2165
"353.18706",0.053855,-4.2148
"408.28354",18.536,4.2122
"341.22343",18.483,4.2081
"381.10713",18.483,4.2081
"216.92342",0.054181,-4.2061
"782.56681",18.42,4.2032
"473.23684",18.381,4.2002
"385.19993",0.054464,-4.1986
"202.09068",18.346,4.1974
"407.28055",18.337,4.1967
"117.03351",18.293,4.1932
"161.08091",18.247,4.1896
"287.16874",0.054855,-4.1882
"606.30079",18.175,4.1839
"99.92434",18.117,4.1792
"500.31308",18.07,4.1755
"464.3148",18.064,4.175
"257.12967",18.036,4.1728
"297.13464",0.055471,-4.1721
"475.28826",18.008,4.1706
"710.53635",18.002,4.1701
"116.92732783",17.994,4.1694
"198.07673",0.055657,-4.1673
"370.28686",17.935,4.1647
"482.26652",17.919,4.1634
"362.23898",17.9,4.1619
"256.16356",17.863,4.1589
"194.90507",17.834,4.1565
"369.17427",17.821,4.1555
"323.18466",0.056152,-4.1545
"383.31728",0.056237,-4.1523
"316.12742",0.056547,-4.1444
"594.37752",17.677,4.1438
"180.06567",17.672,4.1434
"524.30047",17.641,4.1408
"225.11266",17.613,4.1386
"712.55311",0.057392,-4.123
"842.6245",0.057395,-4.1229
"172.09693",17.418,4.1225
"290.08877",17.41,4.1219
"386.14819",0.0575,-4.1203
"381.17388",17.334,4.1155
"399.00122",0.057782,-4.1132
"124.03922",17.284,4.1113
"520.36407",17.27,4.1102
"423.25224",0.058037,-4.1069
"441.23961",17.227,4.1066
"118.92559",17.213,4.1055
"403.3065",17.186,4.1032
"445.25467",17.174,4.1022
"418.11275",17.159,4.1009
"441.2236",17.152,4.1003
"444.01322",0.058691,-4.0907
"553.42621",17.033,4.0903
"331.25516",16.989,4.0866
"382.17605",16.951,4.0833
"350.08874",0.059117,-4.0803
"300.03928",16.894,4.0784
"258.05326",16.855,4.0751
"470.23041",0.059524,-4.0704
"410.86359",0.059655,-4.0672
"309.27051",16.762,4.0671
"543.25508",16.752,4.0663
"465.22641",16.732,4.0645
"407.28075",16.688,4.0607
"445.00676",0.059949,-4.0601
"811.63775",0.059961,-4.0598
"671.29343",16.658,4.0581
"504.27154",16.624,4.0552
"471.26916",16.612,4.0542
"452.27379",16.602,4.0533
"588.29095",16.601,4.0532
"637.51732",16.598,4.053
"114.0185",16.544,4.0483
"810.63474",0.060685,-4.0425
"474.28556",16.46,4.0409
"841.62111",0.060813,-4.0395
"491.3206",0.060893,-4.0376
"374.23935",16.421,4.0375
"426.36762",0.060912,-4.0371
"442.01666",0.060924,-4.0369
"475.26746",16.412,4.0367
"114.93275",16.381,4.034
"388.30736",16.37,4.033
"421.33305",0.061184,-4.0307
"297.13229",0.061225,-4.0297
"308.17033",0.061253,-4.0291
"467.24724",16.312,4.0279
"386.23736",0.061372,-4.0263
"396.01092",0.061535,-4.0224
"321.14619",0.061608,-4.0207
"494.2281",16.218,4.0195
"529.24265",16.209,4.0187
"476.27081",16.162,4.0145
"383.15371",16.149,4.0134
"369.28399",16.127,4.0114
"441.12582",16.06,4.0054
"486.22487",16.046,4.0041
"397.00462",0.062452,-4.0011
"443.01035",0.062554,-3.9988
"466.30766",15.945,3.995
"539.2872",15.938,3.9944
"495.27834",15.934,3.994
"628.5601",15.911,3.9919
"398.00777",0.063021,-3.988
"756.56366",0.06304,-3.9876
"397.16957",0.063112,-3.9859
"437.36399",0.06339,-3.9796
"627.55714",15.774,3.9794
"591.31882",15.751,3.9774
"394.19873",0.063677,-3.9731
"329.24884",15.696,3.9723
"366.2007",0.063737,-3.9717
"367.1882",0.06377,-3.971
"395.00756",0.06381,-3.9701
"314.24215",0.063821,-3.9698
"455.02891",0.06383,-3.9696
"359.09788",15.633,3.9666
"425.36438",0.064008,-3.9656
"537.23782",15.604,3.9638
"662.45374",15.578,3.9614
"441.01339",0.064536,-3.9537
"165.07412",15.489,3.9532
"256.13245",15.481,3.9524
"141.01571",15.453,3.9498
"809.63149",0.064845,-3.9469
"465.28368",15.406,3.9454
"515.41016",15.388,3.9438
"295.01395",15.376,3.9426
"418.29651",15.319,3.9373
"166.05",15.289,3.9344
"368.28067",15.282,3.9337
"261.02949",15.244,3.9302
"223.0141",15.203,3.9263
"288.08795",15.186,3.9247
"413.25493",15.181,3.9242
"438.3674",0.066044,-3.9204
"327.29096",0.066094,-3.9193
"515.30475",15.126,3.9189
"476.27869",15.12,3.9184
"445.19044540",14.991,3.906
"481.28131",0.066754,-3.905
"264.08802",14.977,3.9047
"570.34351",14.942,3.9013
"323.22312",0.06725,-3.8943
"658.55011",14.864,3.8938
"483.02364",0.067315,-3.8929
"153.09111",0.06733,-3.8926
"132.0442",14.774,3.885
"255.63075",14.702,3.8779
"492.28942",14.623,3.8701
"485.15199",14.616,3.8695
"553.33874",14.607,3.8686
"773.57085",0.068511,-3.8675
"460.27608",14.588,3.8667
"164.07077",14.572,3.8652
"522.30742",14.492,3.8572
"462.32714",14.478,3.8557
"407.2957",14.472,3.8552
"213.09164",0.069436,-3.8482
"597.30421",14.402,3.8482
"136.0757",0.069478,-3.8473
"373.11475",0.069512,-3.8466
"407.25748",0.069517,-3.8465
"353.11732",14.379,3.8459
"137.06939",14.345,3.8425
"249.00817",14.322,3.8401
"143.10661",0.069878,-3.839
"357.28027",14.311,3.839
"409.13631",0.06995,-3.8375
"426.30165",14.282,3.8361
"571.2893",0.070109,-3.8343
"402.30168",14.263,3.8342
"657.54673",14.26,3.834
"611.28556",14.222,3.8301
"255.23289",14.192,3.827
"631.51572",14.188,3.8266
"568.33178",0.070508,-3.8261
"548.29702",14.137,3.8214
"328.09133",0.071279,-3.8104
"429.32046",14.026,3.8101
"305.15118311",0.071551,-3.8049
"445.31621",13.97,3.8042
"575.45414",0.071609,-3.8037
"351.06195",0.071632,-3.8033
"261.16113",0.071711,-3.8017
"437.26742",13.922,3.7993
"314.20882",0.071894,-3.798
"454.34114",0.071893,-3.798
"308.26762",13.909,3.7979
"367.2434",13.902,3.7972
"520.32771",13.902,3.7972
"448.30728",13.848,3.7916
"375.25208",13.847,3.7915
"335.16186",0.072253,-3.7908
"303.23338",13.838,3.7906
"455.29871",0.072432,-3.7872
"695.27564",0.072538,-3.7851
"369.30148",0.072642,-3.7831
"217.0478",0.072787,-3.7802
"145.03978",13.734,3.7797
"370.30493",0.072818,-3.7796
"306.25205",13.729,3.7792
"116.92735444",13.707,3.7769
"407.27012",13.704,3.7765
"503.26813",13.672,3.7731
"805.55984",13.664,3.7724
"377.13976",0.073187,-3.7723
"439.20822",13.654,3.7713
"317.14695",13.653,3.7712
"580.39794",13.648,3.7706
"165.02966",13.6,3.7655
"493.33598",0.073585,-3.7645
"194.99634",13.571,3.7624
"209.06753",0.07377,-3.7608
"411.23937",0.073777,-3.7607
"565.46491",0.073775,-3.7607
"418.21436",0.073817,-3.7599
"279.23289",13.543,3.7595
"99.92434145",13.492,3.754
"307.26461",13.414,3.7457
"626.58094",13.38,3.742
"360.18527",13.337,3.7373
"415.21598",13.312,3.7347
"118.92558",13.257,3.7287
"73.02806495",13.251,3.728
"351.25197",13.247,3.7276
"500.29548",13.218,3.7245
"146.1002",13.205,3.723
"633.48615",13.189,3.7213
"547.05496",0.075863,-3.7205
"449.28686",13.17,3.7192
"625.57783",13.169,3.7191
"427.35407",13.166,3.7187
"237.06623",0.075994,-3.718
"330.25212",13.14,3.7159
"387.25177",13.12,3.7137
"439.24701",0.076284,-3.7125
"214.10817",0.076306,-3.7121
"587.28711",13.082,3.7095
"479.28426",0.076579,-3.7069
"302.20567",0.076861,-3.7016
"307.14854",0.076914,-3.7006
"337.2364",12.983,3.6985
"473.28273",12.98,3.6982
"556.29704",12.919,3.6914
"391.14943",0.07742,-3.6911
"493.33596",0.07751,-3.6895
"277.13208",0.077538,-3.689
"480.31022",12.865,3.6854
"418.32611",12.847,3.6833
"372.22406",12.835,3.6821
"296.23108",12.786,3.6765
"241.09869",12.776,3.6753
"393.19587",0.07829,-3.675
"475.30125",12.764,3.674
"548.76744",0.078378,-3.6734
"151.01374",12.734,3.6706
"347.15023",0.078545,-3.6703
"483.2733",0.078608,-3.6692
"266.15118",12.698,3.6665
"273.04758",12.694,3.6661
"308.17034",0.078908,-3.6637
"314.1252",12.638,3.6597
"424.35187",0.079132,-3.6596
"240.075",0.079229,-3.6578
"658.54979",12.581,3.6532
"467.32959",12.573,3.6522
"307.16676446",0.079647,-3.6502
"785.58486",12.544,3.6489
"397.16905",0.079898,-3.6457
"357.03829",12.503,3.6442
"453.33793",0.079991,-3.644
"423.34851",0.080052,-3.6429
"437.2908",12.449,3.638
"305.23918",12.427,3.6355
"487.23715",12.417,3.6343
"313.23886",0.08061,-3.6329
"415.21625",12.397,3.6319
"360.17831",0.080683,-3.6316
"444.31198",12.356,3.6272
"371.22067",12.315,3.6223
"497.29464",12.292,3.6197
"299.25904",0.081369,-3.6194
"257.08233",0.08151,-3.6169
"154.96443",0.081712,-3.6133
"784.58182",12.201,3.6089
"206.01243",0.08204,-3.6075
"397.20584",0.082114,-3.6062
"239.07715",12.146,3.6025
"377.12507",12.137,3.6013
"493.22471",12.126,3.6001
"315.10944",0.08249,-3.5996
"370.29642",12.099,3.5968
"304.23523",12.095,3.5964
"120.04417",12.07,3.5933
"659.50774",12.056,3.5917
"516.30778",12.051,3.5911
"259.15494",0.082985,-3.591
"443.17452",12.021,3.5875
"227.0561",0.083213,-3.587
"489.21378",0.083246,-3.5865
"380.161",11.99,3.5838
"277.1445",11.987,3.5834
"749.57323",0.083455,-3.5829
"182.05275",0.083484,-3.5824
"429.21728",11.961,3.5803
"333.27096",11.952,3.5791
"541.26474",11.949,3.5788
"341.10128",11.946,3.5785
"351.92527",0.084148,-3.5709
"327.08788",0.084328,-3.5678
"116.92731",11.827,3.564
"445.19072",11.82,3.5632
"307.25496",11.82,3.5631
"211.02787",11.803,3.5611
"142.06497",11.801,3.5609
"118.92963",0.085039,-3.5557
"510.99719",0.085061,-3.5554
"231.06807",11.75,3.5545
"172.99057",11.745,3.554
"509.00021",0.085303,-3.5513
"73.02806",11.677,3.5456
"568.36168",11.668,3.5445
"470.23034",11.667,3.5443
"281.24895",0.085735,-3.544
"118.92569",11.615,3.5379
"428.31715",11.61,3.5373
"203.05565",0.086194,-3.5363
"463.20835",11.601,3.5362
"299.18667",0.086237,-3.5355
"483.23654",11.595,3.5354
"659.50263",11.594,3.5353
"783.57878",11.564,3.5315
"417.32281",11.544,3.5291
"469.22701",11.518,3.5258
"179.05518",11.483,3.5215
"213.08182",11.471,3.5199
"387.18463",11.469,3.5197
"154.04393",11.445,3.5166
"345.14529",11.44,3.516
"281.24913",0.087576,-3.5133
"108.90077",0.087944,-3.5073
"379.15847",11.352,3.5049
"371.29963",11.35,3.5046
"351.22121",11.329,3.502
"415.32179",11.304,3.4988
"145.09722",11.289,3.4969
"214.07053341",11.249,3.4918
"255.23281",11.238,3.4903
"156.96149",0.08901,-3.4899
"409.28663",11.224,3.4886
"259.07572",11.222,3.4883
"399.252",11.219,3.4878
"368.24162",11.204,3.4859
"567.43962",11.158,3.48
"366.26523",11.157,3.4799
"109.00301767",11.136,3.4771
"477.21338",0.089807,-3.477
"96.9682",0.090022,-3.4736
"373.23633",11.105,3.4732
"349.13733",0.090189,-3.4709
"349.14107",0.090384,-3.4678
"437.07235",0.090426,-3.4671
"144.04431",11.04,3.4647
"347.18681",0.09059,-3.4645
"385.23661",11.004,3.46
"287.16142",0.090946,-3.4588
"482.34245",0.091567,-3.449
"427.20893",10.919,3.4488
"451.30667",10.895,3.4456
"453.31469",0.091786,-3.4456
"223.08044",0.091858,-3.4445
"383.35337",0.092112,-3.4405
"653.51092",10.854,3.4402
"291.09173",10.852,3.4398
"480.17773",10.851,3.4398
"431.21106",10.824,3.4361
"499.29306134",10.804,3.4335
"536.3233",10.772,3.4292
"177.02191",0.092969,-3.4271
"605.29861",0.093403,-3.4204
"271.15549",0.093427,-3.42
"594.33888",0.093557,-3.418
"513.28933",10.687,3.4178
"439.37982",0.093739,-3.4152
"549.31741",0.094079,-3.41
"589.50212",10.624,3.4092
"385.16965962",0.094181,-3.4084
"223.17011",10.579,3.4032
"494.33935",0.094536,-3.403
"103.03873",10.559,3.4004
"230.10337",0.094749,-3.3997
"127.03888",10.509,3.3936
"311.18693",0.09562,-3.3865
"397.33232",0.095988,-3.381
"197.12877",10.411,3.3801
"384.31198",10.392,3.3774
"430.33307",10.381,3.3759
"486.22526",0.096622,-3.3715
"483.40602",0.096701,-3.3703
"474.28041",10.333,3.3692
"551.30501",10.319,3.3672
"385.05028",10.317,3.3669
"338.1464",10.303,3.365
"446.32785",10.258,3.3587
"185.10771",0.097671,-3.3559
"699.38163",10.233,3.3551
"331.26468",10.221,3.3534
"224.03805",0.097851,-3.3533
"392.12033",10.213,3.3523
"278.11504",0.098384,-3.3454
"136.07575",0.098504,-3.3437
"447.33103",10.117,3.3387
"425.26794",0.098986,-3.3366
"511.18645",0.099159,-3.3341
"377.27157",0.099289,-3.3322
"213.05776",10.061,3.3307
"390.22624",10.049,3.329
"116.07047",10.041,3.3278
"326.90192",0.099615,-3.3275
"339.20765",10.002,3.3222
"333.13072",9.9929,3.3209
"473.27707",9.9873,3.3201
"450.29899",9.9844,3.3197
"279.23281",9.984,3.3196
"582.3774",9.9531,3.3151
"305.24901",9.9491,3.3146
"515.30443",9.9213,3.3105
"463.30674",9.9123,3.3092
"289.18114",0.10112,-3.3058
"517.31732",0.1014,-3.3019
"509.31209",0.10155,-3.2998
"130.0862",9.7932,3.2918
"117.07386",9.7899,3.2913
"257.12923",9.7639,3.2875
"493.33591",0.10278,-3.2823
"145.0496",0.1029,-3.2807
"415.21634",9.7096,3.2794
"462.27082",9.7025,3.2784
"461.99703",0.10309,-3.278
"474.24773",9.6957,3.2773
"74.02333",9.6717,3.2738
"487.26812",0.10342,-3.2734
"440.3831",0.10363,-3.2705
"303.16088",0.10372,-3.2692
"121.02835",9.6328,3.268
"298.06345",9.6305,3.2676
"206.16249",9.6089,3.2644
"419.21848",9.608,3.2642
"462.26914",0.10418,-3.2629
"232.11871",9.5963,3.2625
"301.20231",0.1045,-3.2584
"463.30314",9.5484,3.2553
"427.17959",9.5463,3.2549
"335.22317",0.10501,-3.2515
"388.18808",9.5213,3.2512
"375.09634",9.5142,3.2501
"489.33445",0.10532,-3.2472
"247.08236",9.4927,3.2468
"331.11933",0.10537,-3.2464
"271.19192",0.10544,-3.2455
"569.36536",9.4816,3.2451
"471.26694",9.4711,3.2435
"550.34836",0.10581,-3.2404
"636.34937",9.4498,3.2403
"289.15595",0.10588,-3.2395
"438.29417",9.4387,3.2386
"355.28553",9.4106,3.2343
"353.23088",9.3923,3.2315
"616.31999",0.10691,-3.2256
"368.19001",9.3294,3.2218
"227.13965",9.3125,3.2192
"307.19497",9.3027,3.2177
"474.26287",9.2633,3.2115
"396.22414",9.2576,3.2106
"132.0292",9.2422,3.2082
"220.06103",9.2386,3.2077
"814.56162",0.10872,-3.2013
"116.07055",9.1938,3.2007
"480.29445",9.177,3.198
"395.22074",9.1603,3.1954
"496.26868",9.1357,3.1915
"460.00038",0.1097,-3.1884
"530.28615",9.1049,3.1867
"791.59022",0.10994,-3.1852
"408.28334",9.0844,3.1834
"431.98771",0.11009,-3.1833
"782.56603",9.0808,3.1828
"319.16649",0.11019,-3.182
"568.36207",9.0556,3.1788
"660.52854",0.11061,-3.1765
"178.04998",9.0113,3.1717
"306.10463",0.111,-3.1714
"329.24887",9.0059,3.1709
"283.10895657",9.0016,3.1702
"570.36774",8.9872,3.1679
"362.29177",8.9604,3.1636
"149.04435",8.9517,3.1622
"182.95959",0.11179,-3.1611
"305.24896",8.9384,3.16
"642.55525",0.112,-3.1585
"341.27019",0.11202,-3.1581
"344.08938",8.9238,3.1577
"389.13439",8.9233,3.1576
"451.2467",8.8977,3.1534
"659.52505",0.11257,-3.151
"556.345",0.11319,-3.1432
"205.15916",8.8327,3.1429
"382.29635",8.819,3.1406
"389.17025",0.11342,-3.1402
"408.29941",8.8059,3.1385
"481.30613",0.11363,-3.1375
"679.49506",0.11375,-3.136
"639.49506",8.7905,3.1359
"184.09721",0.11384,-3.1349
"488.34696",0.11402,-3.1326
"117.92735",8.7631,3.1314
"591.39091",8.7538,3.1299
"543.33564",8.753,3.1298
"458.00333",0.11428,-3.1293
"185.04481",8.7458,3.1286
"441.2864",0.11444,-3.1273
"355.14339",8.7352,3.1268
"568.32579",8.7313,3.1262
"472.24585",8.7223,3.1247
"434.33595",0.11479,-3.1229
"296.94358",0.11488,-3.1219
"421.20998",0.1149,-3.1215
"130.04983",8.6715,3.1163
"357.11366",8.6693,3.1159
"231.0187",8.6649,3.1152
"294.21612",0.11553,-3.1136
"327.16932",0.11562,-3.1126
"471.27325",0.11563,-3.1124
"609.39306",8.6424,3.1114
"304.10093",0.11587,-3.1095
"297.10954",0.11594,-3.1086
"759.41585",0.11613,-3.1062
"332.1173",8.6039,3.105
"564.37311",0.1163,-3.104
"180.0659",8.5971,3.1039
"222.00768",0.11643,-3.1025
"327.10238",0.11643,-3.1025
"99.92433",8.5848,3.1018
