"","Fold Change","log2(FC)"
"531.25796",0.00012179,-13.003
"386.13606",8049.4,12.975
"547.32951",0.00012614,-12.953
"543.25503",7876.1,12.943
"472.33581",7724.5,12.915
"590.30556",7707.8,12.912
"298.13795",0.00013061,-12.902
"488.31464",7372.1,12.848
"243.03006",0.00013974,-12.805
"383.28079",0.00013989,-12.803
"518.36116",6986.9,12.77
"626.35507",6984.7,12.77
"328.16252",6960.1,12.765
"610.33302",0.00014474,-12.754
"480.2691",0.00015584,-12.648
"793.02004",0.00016222,-12.59
"230.01261",5929.7,12.534
"375.21809",0.00017106,-12.513
"305.14303",0.00017452,-12.484
"354.10421",5602.3,12.452
"621.40016",5496.7,12.424
"387.22147",0.00018716,-12.383
"527.25098",5300.2,12.372
"639.13857",0.00018956,-12.365
"435.27503",0.00019622,-12.315
"194.04527",4983.7,12.283
"464.27391",0.00020986,-12.218
"382.09174",0.00021249,-12.2
"427.2338",4601.5,12.168
"252.57261",4600.3,12.168
"805.55996",4518.5,12.142
"786.58637",4225.3,12.045
"391.13745",4224.1,12.044
"595.35071",0.00024086,-12.02
"322.18587",0.00024658,-11.986
"414.16706",3876.6,11.921
"675.42979",3848.8,11.91
"806.56326",3846.5,11.909
"321.18228",0.00027236,-11.842
"287.61197",3640.7,11.83
"795.01728",0.00027744,-11.816
"495.35187",0.00028044,-11.8
"610.33297",0.00028833,-11.76
"633.32363",0.00030572,-11.675
"621.4001",3232.7,11.659
"585.34281",3231.2,11.658
"637.36112",0.00030981,-11.656
"319.09551",0.00031033,-11.654
"363.16954",0.0003149,-11.633
"420.15162",3106.7,11.601
"554.31557",3094.2,11.595
"364.19676",0.00033315,-11.552
"355.66891",2995.3,11.549
"608.47612",2985.1,11.544
"468.31181",0.00033957,-11.524
"496.35473",0.00034077,-11.519
"611.38163",0.00036976,-11.401
"150.05502",2644,11.368
"262.62035",2555.3,11.319
"152.02852",2540.4,11.311
"279.6143",2423.9,11.243
"522.2431",0.0004283,-11.189
"467.30201",0.00043355,-11.172
