"","Overall"
"522.2431",59.995
"345.24404",59.969
"828.99683",59.803
"805.55996",59.752
"362.20107",59.706
"798.01777",59.702
"132.86685",59.7
"702.24294",59.664
"563.14051",59.623
"697.22719",59.608
"830.99424",59.589
"655.47336",59.57
"798.56067",59.56
"799.01181",59.556
"535.22286",59.467
"767.36841",59.463
"579.38984",59.358
"389.10379",59.239
"464.27391",59.203
"570.34351",59.142
"297.22271",59.098
"514.98611",58.919
"474.26247",58.896
"598.35753",58.828
"380.25262",58.788
"359.19009",58.783
"658.34582",58.721
"727.41228",58.72
"241.07946",58.678
"809.37594",58.484
"423.16203",58.439
"812.5403",58.434
"478.25337",58.286
"806.56326",58.275
"533.27377",58.227
"364.19676",58.101
"311.17633",58.049
"286.85408",58.008
"411.14842",57.907
"287.1868",57.825
"841.02342",57.812
"321.17249",57.697
"426.36738",57.647
"194.90491",57.612
"396.14467",57.572
"455.29871",57.532
"461.25447",57.456
"786.58637",57.399
"363.19319",57.332
"383.06671",57.331
"445.25366",57.3
"515.22671",57.266
"261.16112",57.245
"399.2291",57.162
"379.10927",57.158
"352.08644",57.137
"695.23009",57.133
"350.08874",57.117
"578.38233",57.111
"436.13128",56.947
"333.24397",56.903
"330.14398",56.891
"565.30423",56.851
"607.3847",56.813
"585.39351",56.797
"377.27157",56.658
"224.0613",56.616
"347.16495",56.505
"475.26742",56.442
"270.6179",56.425
"275.0369",56.375
"109.00301767",56.362
"419.18074",56.358
"344.08938",56.185
"520.32771",55.993
"595.35058",55.914
"799.56387",55.908
"469.38986",55.895
"347.15048",55.833
"527.25098",55.797
"291.17157",55.646
"417.15913",55.577
"435.27503",55.398
"480.2691",55.393
"456.20614",55.313
"559.46325",55.261
"563.21727",55.123
"701.3869",54.983
"451.38002",54.97
"268.63859",54.897
"609.22695",54.849
"432.98131",54.821
"607.47257",54.766
"522.32558",54.62
"470.23014",54.593
"611.36309",54.542
"362.20121",54.542
"435.20049",54.326
"211.03971",54.287
"386.17265",54.279
"425.36438",54.178
"443.23784",54.091
"798.56141",53.878
"361.17958",53.864
"243.03006",53.862
"595.35071",53.847
"677.45508",53.801
"260.01985",53.784
"549.05181",53.773
"382.17605",53.62
"335.16163",53.581
"259.18176",53.58
"395.00756",53.399
"438.3674",53.314
"440.21105",53.307
"490.33118",53.201
"373.20278",53.194
"278.11887",53.099
"445.00676",52.999
"616.31999",52.781
"323.16167",52.69
"319.16686",52.629
"611.34543",52.606
"437.07235",52.6
"470.39295",52.6
"607.38472",52.597
"555.31091",52.515
"396.01092",52.481
"300.03928",52.475
"385.13315",52.472
"328.09133",52.456
"639.13857",52.435
"471.23358",52.429
"357.03829",52.31
"333.27997",52.292
"483.40602",52.283
"588.46707",52.233
"398.00777",52.186
"411.34857",52.16
"422.33661",51.973
"271.22353",51.968
"522.29785",51.895
"232.05893",51.857
"425.36433",51.847
"539.32259",51.816
"299.12933",51.698
"611.38163",51.676
"433.18507",51.641
"371.12268",51.623
"135.04394",51.491
"261.16115",51.484
"431.19036",51.346
"381.21072",51.291
"553.37073",51.242
"458.00333",51.22
"259.18179",51.217
"551.04852",51.174
"445.2401",51.093
"483.31511",51.043
"307.0752",51.013
"610.33247",51.009
"385.16925",51
"195.81044",50.994
"482.2844",50.958
"373.13291",50.944
"389.09187",50.94
"324.16529",50.92
"443.17491",50.905
"538.32932",50.891
"337.17752",50.887
"380.18334",50.863
"446.00993",50.848
"362.20112",50.844
"242.08626",50.841
"431.18316",50.833
"590.30603",50.808
"455.37486",50.738
"355.32205",50.68
"272.19524",50.601
"467.30201",50.504
"813.55264",50.489
"314.09723",50.482
"477.25023",50.432
"538.30292",50.319
"547.05496",50.312
"298.11671",50.303
"611.34524",50.203
"575.46789",50.194
"339.09606",50.156
"528.28151",50.152
"488.27586",50.146
"415.17058",50.132
"525.30515",50.13
"481.26304",50.121
"390.26859",50.121
"324.16524",49.865
"442.25972",49.846
"435.3122",49.828
"673.25624",49.789
"517.23802",49.787
"209.09265",49.725
"799.56461",49.705
"308.17033",49.647
"277.12285",49.646
"363.16954",49.636
"258.10144",49.615
"429.28123",49.581
"377.23376",49.542
"447.00281",49.519
"216.07181",49.484
"311.11633",49.477
"783.57878937",49.458
"336.66126",49.419
"426.36762",49.377
"441.01339",49.348
"380.161",49.334
"797.5581",49.317
"413.1636",49.309
"151.01374",49.224
"251.04578",49.218
"509.00021",49.153
"677.28672",49.106
"675.42979",49.049
"453.3956",49.045
"428.2284",49.024
"465.39514",49.001
"468.25076",48.959
"510.99719",48.955
"589.3037",48.955
"516.27203",48.932
"639.41076",48.903
"633.32363",48.896
"499.26644",48.889
"243.10286",48.875
"400.99783",48.865
"544.37707",48.825
"476.23767",48.801
"455.29159",48.799
"625.32172",48.765
"346.24646",48.755
"522.30742",48.726
"392.22927",48.694
"199.80451",48.525
"423.27265",48.489
"472.24551",48.487
"375.26772",48.461
"257.14779",48.446
"367.1882",48.436
"749.57323",48.397
"555.22426",48.376
"698.24901",48.358
"511.26361",48.353
"425.16399",48.314
"381.13816",48.294
"370.30493",48.288
"492.28942",48.288
"557.45794",48.258
"213.09164",48.256
"329.10338",48.239
"417.33794",48.144
"435.3486",48.143
"431.98771",48.13
"135.93175",48.076
"400.0047",48.003
"557.35134",47.933
"307.16676446",47.924
"287.61197",47.817
"333.20753",47.809
"465.30502",47.762
"620.41286",47.619
"116.927363",47.458
"482.26652",47.421
"343.22815",47.335
"592.3616",47.251
"383.28079",47.244
"518.24097",47.237
"215.06854",47.208
"615.49975",47.2
"342.09723",47.11
