"Sample","SA1","SA2","SA3","SA4","SA5","SB1","SB2","SB3","SB4","SB5"
"Label","A","A","A","A","A","B","B","B","B","B"
"119.0606","95591474.33509","105713958.40046","87219631.17443","87439788.78904","85833386.35236","82600126.48654","82273642.09474","84120892.60385","85476096.37594","86579323.4463"
"120.08898","2299023.23096","2127044.43224","2168050.38817","1920524.84311","2190401.61846","1831643.11971","2172785.45245","2074004.5378","2053544.55726","2041787.21133"
"120.06389","5977287.10887","4286296.42942","5616696.54521","5603785.70131","5436390.22686","5275141.22648","5411339.2072","5361132.27089","5334508.77439","5431073.61578"
"120.04796","128736142.44873","6179601.531","68623570.92113","70113654.96394","70204260.97665","11812494.3504","120861889.4832","68402884.68548","151354237.10932","63385164.21663"
"120.52766","46496184.80358","149494151.00447","159310777.16199","160787437.72837","167066519.77659","48723882.87526","149532435.85294","158711953.73214","172234518.14335","190226185.46436"
"121.02858","3540812.64564","4490324.84813","3415289.9175","3279618.50898","4614278.36042","4670641.19876","3433421.95961","3465469.55987","3419619.82581","3411516.85051"
"121.06489","4501905.37025","4550257.83981","4584815.13008","4458025.54456","4436080.30617","4133957.67813","4105420.62505","4126610.54658","4205733.5978","4350362.43113"
"121.06497","7558527.0924","6119353.86683","7387206.05322","9040147.96278","6370649.9979","6304678.73063","7042228.23472","5991709.56555","6415633.16789","7015770.50532"
"121.06494","16682972.97142","15862364.32855","15979497.95427","16176770.04772","16312828.78458","16403616.31039","18777811.31134","16339290.93127","16152264.27575","16413840.43268"
"121.05125","4455772.19055","1976201.46059","424293.29531","360368.89697","339116.22488","1811594.52186","1874355.91002","1755200.25536","39261361.65324","39872701.61601"
"121.52559","1626640.04009","6157144.63527","6271996.14567","5827425.78148","6753823.33539","2882893.76563","6125709.61628","5770765.74925","3383716.67358","7728218.35853"
"122.06826","1306199.39076","1289997.91919","1241448.23023","1279186.89794","1275847.3847","575870.98053","1455164.40715","1292149.83803","534410.52926","1312438.60839"
"122.03191","186860.92859","228268.51867","118441.76564","126748.97728","206474.17645","168956.98471","139491.1612","179928.20851","139169.82815","115967.89241"
"122.0683","375275.87834","381137.08559","455213.39126","611927.11245","456747.29913","214039.2248","411362.76466","432706.80897","456407.53713","444074.48203"
"122.06832","297156.70424","277170.0769","306835.98718","291326.15498","290785.43533","243756.9069","223622.38236","253402.89951","259952.96945","285186.04156"
"122.54717","278422202.42914","218193596.64824","214929125.05864","211714050.67812","224695889.90901","262999823.11961","223131852.72646","218751978.13486","227079839.36063","243947853.45707"
"122.5472","177994608.951","180264219.30316","167194458.84193","174377232.58311","174406140.7977","179238787.91364","171630775.12609","166185611.91482","158417254.23279","158554756.15576"
"123.04881","29349083.12253","23693989.95121","23381260.61485","23020025.19343","24191712.47248","28036902.89785","24944711.88124","22474888.52967","24481801.21066","26863446.96235"
"123.0489","17888234.80816","18405400.07846","16672949.13297","16981089.65802","16535808.68871","17032047.43227","16639437.45131","16534487.41639","14986079.03796","15288854.00536"
"123.54515","1586888.76529","1327812.50612","1191925.31114","1204593.97112","1267727.79502","1531817.05565","1162650.92661","1289324.42747","1327866.51524","1314664.83384"
"125.071","7502574.96326","7744700.57451","7613892.45114","8423219.18409","7073078.26684","6497799.32962","6286639.73254","5795459.68627","5088494.06714","4901966.67281"
"125.98632","90591446.38832","69295104.46183","67409521.44235","65614525.22561","68218588.52302","76229241.90385","62432464.59219","60480469.99918","61314870.58009","64566278.48924"
"126.07459","344798.8034","312246.30845","330550.75051","388346.22624","284201.44833","257428.7341","191611.79671","131548.36448","206368.64023","217070.69529"
"126.98968","2522786.95054","1954202.04116","1918304.47375","1823135.11024","1879251.52181","1852604.90209","1805191.92151","1665402.79532","1699550.91342","1795900.6944"
"128.51388","194889594.8419","263935095.7449","474129055.38347","249475999.36","255764660.65561","231401223.57885","252262904.9437","263836602.28043","264091423.17407","253096152.81554"
"128.51394","44428495.1079","37602082.33515","63030450.95924","72955164.42274","70227491.36104","57053304.88232","68247424.3304","60549952.1338","60482773.91545","57223545.35159"
