"m.z" "p.value" "t.score" "rt"
71.01242 0.615370011912227 0.894536405601273 41.78237
73.02799 0.205465658026951 2.50592538392311 53.02173
73.02806 0.371076794008205 1.67751837577951 44.54642
73.02806 0.371076794008205 1.67751837577951 63.57592
73.02806495 0.375500155016742 1.66003121056109 NA
74.02333 0.515665629504434 1.19643447204739 41.64741
75.00735 0.760295414646673 -0.546782909333012 44.09907
78.9576 0.772678461798013 0.517084037521933 47.11778
79.95606 0.792554151052405 0.474441397981687 46.84634
80.9637 0.697219908790558 -0.692271301776783 46.83931
85.02804 0.631868548253588 0.852851070322614 43.38301
85.06441 0.336050675771525 1.80966865854258 109.07454
87.00733 0.486049457649666 1.28849809950876 44.57304
87.04368 0.810164874418282 -0.432232520446913 94.34327
87.04371 0.72926805256225 -0.612289584066457 56.40579
88.03897 0.63196388260666 0.85247917421089 41.40924
89.02289 0.296912181109885 1.97797515405021 52.74108
89.02297 0.506723653074278 1.22903508844662 43.96734
90.02622 0.733530176165104 0.602820377824153 45.22351
91.05389 0.522537646766604 -1.17455703012341 222.24945
92.05724 0.538335527129584 -1.11619941115906 222.3458
92.92662 0.781582870864704 -0.496396059931484 47.92515
93.03313 0.164949086712077 2.83835707110475 74.92438
93.03314 0.411604961456915 -1.53592693036706 90.25655
93.04441 0.642775760778512 -0.819193026691102 41.16152
94.02843 0.451556197606241 -1.39410431394492 44.27999
94.97941 0.946813065038058 0.125881318805909 946.55629
94.97946 0.732056463805389 0.606460157064099 45.7875
96.95871 0.961826874112117 0.0930070611982845 94.03181
96.95874 0.443779230226998 1.42031926912803 68.47439
96.95879 0.789207484496428 -0.481205599955182 21.84772
96.9682 0.863031848759155 0.311195711334617 46.86659
99.00733 0.186502492321075 2.67538277527088 53.57989
99.00739 0.390841559628158 1.60841161746863 92.5333
99.00741 0.816873751032829 0.419794403159738 45.16966
99.04377 0.96166490826758 -0.095738690150017 63.48272
99.92433 0.143547876015625 3.15017093993526 847.18691
99.92434 0.104275317937696 3.69070735848712 888.53004
99.92434 0.104275317937696 3.69070735848712 901.61689
99.92434145 0.0609521994170164 4.75776844170268 NA
99.92438 0.585233008553552 0.982889059364772 19.81958
99.9244 0.52586874234253 1.15690874827521 620.68137
99.92441 0.961750885078229 -0.0951245146033558 720.27952
99.92445 0.635770688247165 -0.842555218773651 749.90982
100.92455 0.070272974629688 4.44519909560701 888.62931
101.0231 0.596428006219781 0.945341159991385 42.49985
101.05948 0.129216583400286 -3.29197842080747 60.73819
101.05949 0.862626384370015 -0.313342425262117 182.67273
101.05952 0.666397964953159 -0.758097098748433 164.16789
102.05473 0.820720223095911 -0.413663232059928 41.74976
102.95553 0.734035978982674 0.600464466307957 88.20392
103.03873 0.313388912430907 1.91400240346829 53.56845
103.0388 0.792230914647948 -0.475356186402774 41.59731
104.03404 0.794345243868582 -0.470415437703604 41.24306
105.01806 0.970042803069014 -0.0760126191252593 43.02451
106.04106 0.536412138549655 1.12146293013005 130.27907
106.04112 0.269564787908836 -2.11633114647888 90.30541
107.02445 0.801196908605001 0.454030903197047 60.89198
107.03633 0.390608909582411 1.60920324157642 42.62565
107.04889 0.432930253403322 1.46093263028117 123.25598
107.04894 0.271955467053608 -2.10506153538262 90.44972
107.04899 0.725170185536365 0.621934758763131 76.85946
107.049 0.273446783017013 -2.09815778355716 110.50407
108.03226 0.443779230226998 1.41823636881163 44.21066
108.04417 0.46333967229143 1.35499979746616 63.59996
108.04426 0.615883167307522 -0.892606231391243 53.21734
108.90077 0.741753296284274 -0.584638560557935 48.57081
109.00301 0.241871645240106 2.27416584695146 957.45678
109.00301 0.241871645240106 2.27416584695146 990.58457
109.00301767 0.290039741746913 2.01373095115162 NA
109.00305 0.961750885078229 0.0953135538601136 1016.66596
109.02822 0.553019669288364 1.06939375116648 91.66896
109.02828 0.994325864993703 -0.012869888631282 58.77845
109.03387 0.799713912608642 0.457728108521101 44.4392
110.02351 0.891358715242531 0.247815247595834 44.81387
110.07108 0.113646569406708 3.52938318942393 40.5334
110.89778 0.801829242222507 -0.451630743028655 47.68601
111.01869 0.702415629385091 -0.680720263406863 45.35297
111.08033 0.506723653074278 -1.22906317504776 116.40515
112.03916 0.753146354712335 0.561717610800642 55.9478
112.9845 0.691755962138445 0.705020975488148 25.55007
113.02322 0.589983412434997 0.970226459822673 42.58411
113.04137 0.414631835444824 1.52448775265253 54.64162
114.0185 0.852091937886737 0.343411418513837 42.03353
114.93274 0.069313285052594 4.48512111751759 888.62931
114.93274 0.069313285052594 4.48512111751759 847.44703
114.93274345 0.223463381722516 2.38854328294984 NA
